2345201
/m/075d1p
/m/075d1p
Jules Verne
1879
{"/m/02xlf": "Fiction", "/m/08sdrw": "Adventure novel", "/m/06ms6": "Sociology"}
200000 1
a 10
about 3
abroad 1
accidents 1
affair 1
after 3
all 1
already 1
american 1
an 1
and 13
are 3
around 1
as 1
assigned 1
away 1
bandit 3
bank 2
bankrupt 2
beautiful 1
before 1
being 1
blindfolded 1
body 1
bodyguards 1
bored 1
builtin 1
but 2
by 2
cant 1
certainly 1
company 1
country 1
covering 1
day 1
death 1
decided 1
decides 2
die 2
disappeared 1
does 1
doesnt 1
dying 1
effort 1
entire 1
even 1
ever 2
expires 1
felt 1
find 1
for 4
forced 1
forever 1
friends 2
from 3
get 1
giving 1
going 1
guards 1
had 2
hanging 1
happily 1
has 1
having 2
he 10
hijacked 1
him 4
hires 1
his 8
history 1
home 1
how 1
however 1
humiliation 1
in 6
including 1
incompetent 1
instead 2
insurance 3
invested 1
investment 1
is 6
kidnapped 1
kill 1
killing 1
kinds 1
kinfo 8
knew 1
laced 1
lack 1
land 1
lazy 1
lesson 1
life 7
live 1
looking 1
loyal 1
major 1
man 1
market 1
marries 1
material 1
means 1
mentor 1
message 1
money 1
murder 1
news 2
not 2
now 3
of 5
off 1
offer 1
old 2
once 1
one 2
opium 1
out 1
own 1
pain 1
philosopher 1
planning 1
poison 1
possessions 1
pulled 1
reaches 2
receives 1
rejects 1
return 2
returned 1
run 1
sails 1
seppuku 1
servant 1
ship 1
signs 1
soun 2
staged 1
stand 1
states 1
stating 1
stock 1
suicide 1
take 2
task 1
teach 1
terribly 1
than 1
that 3
the 14
their 1
they 5
this 1
thrill 1
to 16
together 1
travel 1
travels 1
trick 1
try 1
two 2
unfortunately 1
united 1
up 1
use 1
valuable 1
very 1
vests 1
waiting 1
wang 5
want 1
war 1
was 1
we 1
wealthier 1
wealthy 1
were 1
when 2
where 1
while 2
who 2
with 4
without 1
woman 1
young 1
