8726723
/m/027gh67
/m/027gh67
Georgette Heyer
1961
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
18081814 1
1815 1
a 15
about 1
act 1
advice 1
affection 1
after 1
again 1
agrees 1
albeit 1
alternative 1
although 1
an 3
and 18
another 1
as 6
at 2
back 1
battle 1
battles 1
be 3
beautiful 2
been 2
belgium 1
brought 1
bury 1
but 2
by 2
calmer 1
can 1
care 1
characterised 1
chawleigh 5
cit 1
comes 1
comfortable 3
common 1
confinement 1
contentment 1
contract 1
convenience 1
conviction 1
daughter 1
death 1
debt 1
debts 1
decides 1
delights 1
demanding 1
devoted 1
difficult 1
directly 1
disaster 1
discuss 1
dowdy 1
down 1
elegant 1
ends 1
enough 1
estate 1
ethereally 1
eventually 1
ever 1
exact 1
exchange 1
exile 1
exquisitely 1
facing 1
familiar 1
family 4
father 2
fatherinlaw 2
feeling 1
feelings 2
final 1
financial 1
find 1
flaunts 1
followed 1
for 4
foreseen 1
forget 1
forthcoming 1
fortune 1
free 1
funds 1
gains 1
gamble 1
gambles 1
gentleman 1
genuinely 1
graces 1
grandson 1
greater 1
guilty 1
had 1
happier 1
happy 1
has 4
have 2
having 1
he 13
heir 1
held 1
her 1
him 3
himself 1
his 19
home 2
honorable 1
however 2
illustrate 1
in 7
including 1
insult 1
intended 1
interest 1
into 1
involvement 1
is 12
it 2
jenny 7
julia 6
keen 1
lacks 1
latter 1
launches 1
law 1
lead 1
life 2
long 1
longer 1
lose 1
love 2
loves 1
lynton 12
made 1
make 1
makes 1
man 2
mark 1
marriage 2
married 3
means 1
meantime 1
meets 1
men 1
money 1
mother 1
mr 2
much 1
names 1
napoleon 1
needs 1
nervewracking 1
new 1
newborn 2
news 1
no 2
not 2
novel 1
obligations 2
of 14
often 1
older 2
on 4
one 3
only 1
opposite 1
oversley 2
passed 1
passion 1
paying 1
peninsular 1
personal 1
plain 2
plummet 1
plus 1
pregnancy 1
previous 1
probably 1
property 1
protect 1
rather 3
read 1
realises 1
realizes 1
receives 1
reluctant 1
remains 1
resolves 1
respect 1
restoring 1
return 1
save 1
scene 1
secretly 1
selfcentered 1
sell 1
selling 1
shares 1
she 2
shy 1
simple 1
sisters 1
so 1
soar 1
social 1
society 1
soliciter 1
stock 1
suggested 1
suggests 1
suitor 1
support 2
supportive 1
take 2
than 4
that 5
the 22
thereby 1
though 1
time 1
title 1
titles 1
to 18
tries 1
turn 1
two 2
understanding 1
very 1
veteran 1
victory 2
viscount 1
visit 1
visits 1
war 1
waterloo 1
wealth 1
wealthy 1
wellington 2
wellmeaning 1
were 1
when 1
which 1
while 1
who 3
whom 2
wife 1
will 2
wishes 1
with 13
woman 1
would 1
young 1
youthful 1
