3247092
/m/0911t1
/m/0911t1
Uri Orlev
1985
{"/m/0dwly": "Children's literature"}
11yearold 1
a 3
abandoned 1
across 1
alex 4
also 1
an 2
and 9
arrival 1
as 1
away 2
be 1
bird 1
bombed 1
books 1
boruch 1
boy 1
building 1
by 1
camps 1
can 1
character 1
come 1
comes 1
concentration 1
conditions 1
crusoe 1
during 1
empty 2
entirely 1
even 1
father 3
finds 1
food 1
for 3
friend 1
from 2
german 1
germanoccupied 1
get 1
ghetto 4
great 1
has 3
he 6
help 1
hidden 1
him 1
himself 2
his 5
how 1
hunt 1
if 1
ii 1
in 4
into 1
is 5
it 3
jewish 1
learn 1
likely 1
living 1
main 1
make 1
most 1
mouse 1
neighbors 1
not 1
novel 1
of 2
on 2
only 1
onto 1
other 1
out 2
overlooking 1
own 1
pass 1
people 2
pet 1
poland 1
ptasia 1
refuge 1
robbers 1
robinson 1
see 1
seeks 1
send 1
separated 1
small 1
snow 1
soldiers 2
some 1
soon 1
stay 1
still 1
street 2
survive 1
taken 1
test 1
that 1
the 9
their 1
thing 1
through 1
time 1
to 9
tough 1
town 1
trains 1
try 1
turns 1
various 1
wait 1
war 1
where 2
whom 1
window 1
with 2
world 1
