1297091
/m/04qv4f
/m/04qv4f
Gustav Meyrink
1914

a 6
actually 1
adventures 1
also 2
an 1
and 13
anonymous 1
any 1
anything 1
apparently 1
are 2
art 1
as 3
associations 1
assumes 1
at 2
athanasius 1
attributable 1
author 1
be 3
because 1
before 1
book 1
breakdown 2
brought 1
but 2
by 3
called 2
centers 1
central 1
centuries 1
characters 1
childhood 1
chronicles 1
consciousness 1
constantly 1
convey 1
course 1
disjointed 1
dream 2
dreams 1
during 1
elliptical 1
endured 1
event 1
events 1
experienced 1
experiences 1
exploring 1
fact 1
feel 1
focused 1
form 1
friends 2
from 1
generally 1
ghetto 2
golem 1
hallucinations 1
happened 1
has 3
hat 1
have 1
he 2
himself 1
his 8
identity 1
if 1
in 3
inadvertently 1
induced 1
inhabitants 1
intended 1
interactions 1
interests 1
into 2
is 8
it 3
its 1
itself 1
jeweler 1
least 1
left 1
life 2
lives 2
may 4
memory 1
mental 2
metaphysical 1
misery 1
most 1
musings 1
mystical 1
narrative 1
narrator 2
neighbors 2
no 1
not 1
novel 3
occasion 1
of 9
often 2
old 1
on 3
one 1
or 3
originally 1
others 1
outside 1
over 2
own 2
perhaps 1
pernath 5
place 2
prague 1
previous 1
published 1
question 2
rarely 1
reader 1
real 2
reality 1
remember 1
representative 1
restorer 1
revealed 1
seen 1
serial 1
similarly 1
simply 1
some 1
spirit 1
stability 1
story 2
such 1
suffered 1
suffering 1
swapped 1
taken 1
taking 1
that 4
the 24
them 1
thirty 1
this 1
though 1
time 1
to 6
transcendent 1
unable 1
visionary 1
was 3
what 1
which 2
while 1
who 2
with 1
wonder 1
world 1
years 1
youth 1
