925796
/m/03qkfk
/m/03qkfk
Hermann Hesse
1906
a 8
abstraction 1
academic 1
adjusts 1
after 1
also 1
and 9
anyone 1
apprenticed 1
are 1
as 5
attended 1
autobiographical 1
back 1
beneath 2
blacksmith 1
boy 1
childhood 1
close 1
colleagues 1
comfort 1
concrete 1
coping 1
crawl 1
criticises 1
decreases 1
described 1
development 1
difficult 1
drowned 1
drunk 1
early 1
education 2
elements 1
end 1
enjoy 1
expelled 2
finds 1
first 1
focused 1
focuses 1
for 1
form 1
found 1
friendship 1
from 2
fully 1
get 1
giebenrath 3
group 1
had 1
hans 2
hardworking 1
has 1
have 1
he 9
heilner 2
hermann 1
hesse 2
his 10
home 3
however 2
illness 1
in 7
increasing 1
intellectual 1
is 11
it 1
knowledge 1
lasting 1
later 1
leaves 1
less 1
liberal 1
lost 1
maulbronn 1
mental 1
more 1
most 1
neglects 1
neighbouring 1
never 2
new 1
novel 1
novels 1
of 7
on 3
one 1
only 1
opposed 1
performance 2
person 1
personal 1
pub 1
relationships 1
respect 1
river 1
scholarly 1
scholastic 1
seems 1
seminary 3
sent 2
severely 1
shows 1
situation 2
source 1
story 2
students 1
study 1
symptoms 1
talented 1
than 1
that 2
the 11
there 1
thus 1
time 1
to 8
typical 1
village 2
visceral 1
walk 1
was 1
wheel 2
when 1
who 1
with 3
work 2
