7090867
/m/0h3ppd
/m/0h3ppd
Katherine Kurtz
1978
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
05 1
06 1
07 1
a 20
able 1
accepted 1
act 1
actions 1
active 1
actually 3
adept 1
adopted 1
advisors 1
affect 1
after 4
against 1
agree 1
agrees 1
alienate 1
alister 5
allies 1
allow 1
aloof 1
already 1
also 1
although 5
an 4
and 41
angrily 1
anscom 5
antagonism 1
antideryni 1
any 2
appearance 1
appearances 1
appears 1
archbishop 3
are 4
ariella 5
army 4
as 18
ascension 1
asks 1
assimilate 1
assimilating 1
assistance 1
assures 1
at 1
attempting 1
attempts 1
august 1
aware 1
away 1
backlash 1
bastard 1
battle 4
battlefield 1
be 4
bearing 2
become 5
becoming 1
been 5
before 4
begin 1
beginning 1
begins 2
begun 1
being 1
belief 1
beliefs 1
believes 3
believing 3
best 1
birth 1
bishop 5
body 2
both 1
breaking 1
briefly 1
brutal 1
but 7
by 7
called 1
camber 50
camp 1
can 4
cannot 1
canonize 2
canonizes 1
cease 1
celebrate 1
central 1
ceremony 1
chain 1
change 1
cinhil 25
claimed 1
clash 1
clashes 1
classified 1
close 1
closest 2
come 1
concedes 1
confesses 1
confidence 1
conflict 1
confronted 1
confused 1
conscience 2
consecrated 1
consecration 1
constantly 1
continues 1
convinced 1
convinces 2
convincing 1
coup 1
court 6
culdi 1
cullen 19
cults 1
darliss 1
daughter 1
day 3
deal 1
death 6
deception 1
dedicated 1
deposed 1
depth 1
deryni 6
describes 1
desperate 1
despite 1
despondent 1
determining 1
develop 1
developments 1
died 3
discover 1
discovery 1
disguise 2
displays 1
do 1
does 1
dream 1
due 1
during 1
earl 1
ecclesiastical 3
effort 1
efforts 2
emerges 1
empty 2
enabled 1
end 1
ends 1
enjoyed 1
ensure 1
enter 1
erected 1
escaped 1
evaine 1
even 2
event 2
events 1
eventually 1
ever 1
evidence 1
evolve 1
examine 1
exceptions 1
excuse 1
expected 1
explanation 1
face 1
facilitate 1
family 2
far 2
father 2
fears 1
feeling 1
final 1
finally 4
flee 1
flees 1
flood 1
following 5
follows 1
for 4
forced 1
forces 1
forgives 1
form 1
formal 1
former 2
fought 1
free 1
friend 1
friendship 2
from 2
full 1
fully 1
furstnafestila 1
furstnfestil 1
further 1
gamble 1
general 2
get 1
given 1
giving 2
god 1
going 2
governing 1
grateful 1
grecotha 3
grow 2
growing 1
guaire 4
gwynedd 2
gwyneddan 1
had 2
haldane 1
half 1
has 13
have 3
having 1
he 18
health 1
heart 1
help 3
helpless 1
helps 1
her 2
hidden 1
him 6
himself 2
his 28
hoping 1
horrified 1
hostility 1
however 3
idea 1
identity 2
illicit 1
immediately 1
impact 1
imre 3
in 18
inability 1
incident 1
increased 1
