14665994
/m/03gsdh3
/m/03gsdh3
Laurence Yep
1982
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 29
able 3
about 2
accepts 2
acknowledge 1
adopt 1
aerial 1
after 4
against 2
ago 2
alike 1
all 2
allow 1
an 5
and 17
any 1
apprehend 1
are 3
as 7
at 6
attack 1
attempts 1
away 2
baldy 1
battle 1
be 4
beating 1
because 5
become 1
been 3
before 2
being 2
believes 1
blue 3
body 1
boil 1
both 3
bound 1
bowl 1
boy 1
bride 1
brought 1
but 8
by 11
can 5
cannot 2
capture 1
catch 1
cauldron 1
cavern 1
centuries 1
chain 3
change 1
changed 1
charged 1
children 2
city 5
civet 19
claims 1
cloud 2
command 1
convince 2
could 1
course 1
covet 1
days 1
deal 1
death 1
decides 2
defeat 1
defended 1
defends 1
demanded 1
despite 1
destroyed 3
destroying 1
determined 1
determines 1
disable 1
disabling 1
disguise 2
does 1
dragon 3
dragons 4
dream 2
drowning 1
drugs 1
during 3
each 1
earning 1
emanating 1
enchanted 1
encounter 2
encounters 1
enough 2
escape 3
escapes 1
exile 1
exiled 2
expanse 1
few 1
fight 1
finishes 1
five 1
flee 1
flight 1
fly 2
fool 1
foot 1
for 9
forced 2
forest 1
form 4
former 3
formerly 1
freed 1
from 11
gem 1
get 1
gets 1
give 1
gives 1
glen 10
go 2
gratitude 1
great 1
grown 1
had 3
hair 2
hairs 1
harassed 1
has 4
have 6
having 3
he 6
headed 1
help 4
her 30
herself 2
hideous 1
high 1
him 7
his 12
home 1
homeland 1
homes 1
hospitality 1
hours 1
however 1
human 2
hundreds 1
husband 1
in 12
incognito 1
industrial 1
informally 1
injured 1
inland 4
inn 2
innkeeper 1
interfering 1
into 9
investigating 1
is 12
it 5
its 3
join 1
journey 1
keeper 5
keeping 1
kept 1
kill 3
king 3
kingdoms 1
kitchen 1
known 4
lair 1
land 1
later 1
learn 1
leaving 2
led 1
left 1
local 2
lost 7
mage 2
magic 5
magical 2
make 1
making 2
manage 2
manages 4
marriage 1
master 3
masters 1
meal 3
menagerie 1
met 1
mist 2
monkey 8
monstrous 1
mountain 2
mythical 1
named 1
near 1
nearly 1
need 1
never 1
night 2
noodles 1
not 1
notorious 1
now 3
of 29
off 2
offer 1
old 1
on 5
once 1
one 3
opponents 1
or 1
order 1
orphaned 1
other 1
out 1
palace 1
paper 2
paralyzed 1
partnership 1
past 2
pearl 2
pebble 3
perception 1
pets 3
place 1
plan 1
planted 1
powerful 5
prepare 1
preserved 1
prevent 1
previously 1
princess 1
prosperous 1
protecting 1
punish 1
purported 1
pursued 1
putting 1
quest 1
reach 1
realize 1
realizes 1
recreated 1
reluctantly 1
removed 1
resented 1
resolves 1
restoring 1
reveals 2
revenge 1
river 11
ruins 1
salt 1
saves 1
sea 10
seal 1
sealed 1
search 1
seen 1
senses 1
sent 1
sequestered 1
servant 1
servants 2
set 1
setting 1
she 16
shimmer 19
sighting 1
singlehandedly 1
sleep 1
small 1
so 1
some 1
soon 1
source 1
spell 1
stay 3
staying 1
steal 2
stealing 1
still 1
stole 1
stomach 1
stone 3
story 1
subdue 1
submerged 1
such 1
summon 1
supporting 1
supposedly 1
take 1
tea 1
teenager 1
that 10
the 58
their 5
them 6
then 1
they 5
this 1
thorn 16
thousand 1
time 2
to 49
took 1
totally 1
trade 2
trail 1
transform 1
transformed 1
traveling 1
traverse 1
treasure 1
tries 3
troublemaker 1
true 1
try 1
turn 4
turns 1
two 3
unaware 1
unbreakable 1
uncle 1
undone 1
unicorn 2
unleash 1
up 3
use 1
used 2
user 1
uses 1
using 1
various 1
vast 1
village 3
visits 1
vows 1
wanting 1
warrior 1
was 8
waters 4
way 1
wealthy 1
weeping 2
welcomes 1
when 1
where 2
which 9
who 8
will 4
wing 1
witch 1
with 12
within 1
wizard 2
years 3
young 1
