42572
/m/0bpn5
/m/0bpn5
Robert Jordan
1990-01-15
a 14
abandoned 1
accompanied 1
advisor 1
aes 4
afoul 1
after 1
afterwards 1
aginor 3
allowing 1
almeara 2
althor 1
alvere 1
an 2
and 33
andor 1
apparent 1
apparently 1
are 7
army 1
around 1
as 1
at 2
attacked 1
attacks 1
aybara 1
baalzamon 1
balthamel 2
banner 1
battle 1
be 2
because 1
been 1
before 1
befriends 1
believes 1
blight 2
blind 1
boat 1
breaking 1
brothers 1
built 1
by 14
caemlyn 3
can 2
captured 1
catch 1
cauthon 1
channeled 1
children 1
city 3
claims 1
communicate 1
companions 1
company 1
condemned 1
confirmed 1
confronted 1
contains 1
control 1
corrupting 1
create 1
created 1
dagger 1
damodred 2
dangerous 1
dark 4
death 3
decides 1
decimate 1
defeat 1
defeats 1
diagnoses 1
dies 1
district 1
disturbing 1
do 1
dragon 3
dreams 1
during 1
egwene 4
elaida 1
elayne 1
elyas 1
emond 3
enter 1
enters 1
escape 2
escaping 1
even 1
everincreasing 1
evil 2
exploring 1
eye 8
falls 1
false 1
fate 2
field 3
flee 1
for 1
forced 1
forces 1
forcesbestial 1
foretells 1
forsaken 1
free 1
from 4
further 1
galad 1
gardens 1
gawyn 1
gleeman 1
glimpse 1
go 1
green 3
group 3
guided 2
guides 1
had 1
hand 1
hands 1
has 2
have 1
he 2
healed 1
heir 1
her 3
hidden 1
his 1
hoping 1
horn 1
horrific 1
horror 1
however 1
in 9
influence 1
insanity 1
into 1
is 12
it 1
joined 1
killed 1
kills 1
lan 1
later 1
legion 1
let 1
lews 1
light 1
lives 1
logoth 2
loial 3
luck 1
machera 1
make 1
male 1
man 4
mandragoran 1
mashadar 1
mat 10
matrim 1
meanwhile 1
meets 1
men 1
merrilin 1
moiraine 7
morgase 2
must 1
myrddraal 3
named 2
now 1
numbers 1
nynaeve 3
of 32
ogier 1
on 1
once 1
one 4
order 2
own 1
palace 1
passageways 1
people 1
perrin 7
place 1
pool 2
power 1
prison 1
protected 1
pure 2
pursued 1
queen 2
rand 16
reach 1
realizes 1
reborn 1
recently 1
refuge 1
reluctant 1
rescue 1
resides 1
reunited 1
revealed 2
revolves 1
rivers 1
ruby 1
run 1
sacrificed 1
saidin 4
same 2
save 1
says 1
seals 1
search 1
sedai 4
seem 1
sentenced 1
separated 1
separately 1
seven 1
shadar 2
sickness 1
someshta 1
specifically 1
suspicious 1
taint 1
tainted 2
take 1
taken 1
tar 1
target 1
telamon 1
tells 1
that 8
the 62
their 4
themselves 1
there 2
therefore 1
therin 1
they 3
thom 3
threat 1
three 1
throne 1
through 1
time 1
to 22
together 1
took 1
trakand 1
travel 3
travelers 1
travellers 1
trolloc 1
trollocs 2
trying 1
two 2
unexpectedly 1
untainted 1
untouched 1
uses 1
valere 1
valon 1
village 2
vivid 1
warderallan 1
warns 1
was 1
way 1
ways 1
where 2
which 2
while 3
whitebridge 1
whitecloaks 2
who 5
wisdom 1
with 2
withdrawn 1
witnessing 1
wolf 1
wolves 1
world 8
young 2
