4537011
/m/0c7qz_
/m/0c7qz_
Alan Moore
1996
{"/m/02p0szs": "Historical fiction", "/m/05hgj": "Novel"}
4000 1
6000 1
a 7
about 1
ambiguous 1
an 1
and 8
anecdote 1
another 1
appearance 1
are 1
area 1
around 2
as 3
attempts 1
author 1
bc 1
before 2
between 2
but 1
by 1
carries 1
centre 1
challenging 1
chapter 4
character 2
characters 1
circles 1
closing 2
commentary 1
comments 1
daughter 1
different 1
directly 1
disparity 1
drawing 1
duplicitous 1
each 2
endure 1
england 1
events 1
experience 1
fashion 1
features 1
fictional 1
finally 1
finds 1
fire 1
firstperson 1
follows 1
for 2
forward 1
from 1
further 1
himself 1
his 1
historical 1
hob 1
hoban 1
hog 1
how 1
image 1
immersive 1
in 8
inherently 1
into 1
is 2
john 1
language 1
leading 1
leah 1
likely 1
line 1
link 1
lived 1
lives 2
local 1
manner 2
many 1
metafictional 1
moore 3
more 2
most 1
myth 2
narrative 2
northampton 2
of 7
on 1
one 1
opening 1
over 2
people 1
period 1
personal 2
possibly 1
postapocalyptic 1
previous 1
proves 1
reader 1
readers 1
reality 1
relates 1
relating 1
render 1
reppion 1
resonates 1
riddley 1
russell 1
same 1
segueing 1
similar 1
some 1
soninlaw 1
sparks 1
story 1
tales 1
than 1
the 16
their 1
though 2
thoughts 1
throughout 1
time 2
to 4
touchstones 1
twelve 1
upon 1
used 2
voice 2
walker 1
which 2
while 1
who 1
writers 1
years 1
