185865
/m/019dg_
/m/019dg_
Kurt Vonnegut
1969
{"/m/06n90": "Science Fiction", "/m/098tmk": "War novel", "/m/037mh8": "Philosophy", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/0vgkd": "Black comedy", "/m/07s2s": "Time travel"}
13 1
150s 1
160s 1
176 1
5 1
a 12
about 1
after 1
aliens 1
alike 1
already 1
although 1
american 1
and 15
animal 1
another 1
any 1
anything 1
are 2
as 3
assistant 1
at 1
audience 1
avenge 1
backward 1
balkanized 1
battle 1
because 2
become 1
becomes 1
before 3
believes 1
billy 11
blame 1
bmovie 1
bombing 1
book 1
boots 1
both 1
building 1
bulge 1
bully 1
but 1
by 5
can 2
cannot 1
capture 2
captured 2
carcasses 1
caused 1
cellar 1
change 1
chaplain 1
character 1
chastises 1
chicago 1
childhood 1
choose 2
citydestroying 1
clogs 2
concentrate 1
confiscate 1
consequence 1
constantly 1
convince 1
convinced 1
death 2
deep 2
dies 1
dimensions 1
disoriented 1
disused 1
does 1
dresden 2
during 4
dying 1
early 1
enthusiasm 1
events 2
eventually 1
every 1
everything 1
exhibit 1
experiences 1
extraterrestrial 1
fantasy 1
fatalistic 1
fates 1
february 1
fellow 1
few 1
firestorm 1
flying 1
following 1
for 2
forward 1
four 1
from 1
full 1
future 2
gangrene 1
german 2
germans 4
giving 1
guards 1
gun 1
hanging 1
has 2
have 1
he 6
hide 1
hiding 1
him 3
hinged 1
his 9
illtrained 1
in 18
including 1
instant 1
is 7
jingoist 1
just 1
kidnapped 1
killing 1
kills 1
known 1
lack 1
large 1
laser 1
later 1
lazzaro 4
life 3
like 2
lives 2
manages 1
married 1
mate 1
meets 1
moment 2
montana 1
mundane 1
murder 1
named 1
narrative 1
nature 1
nonlinear 1
not 1
number 1
occasions 1
of 18
on 3
or 1
out 2
past 1
paul 2
petty 1
pilgrim 1
place 1
planet 1
postwar 1
pows 2
prisoners 1
put 1
railcar 1
real 1
relives 1
repetitively 1
revenge 1
roland 1
safe 1
saucers 1
say 1
see 1
seen 1
sequence 1
shelter 1
shoots 1
slaughterhouse 2
snow 1
soldier 2
some 1
speech 1
spends 1
starlet 1
states 2
string 1
survivors 1
sweetest 1
that 1
the 25
their 6
theories 1
there 1
they 4
thief 1
thing 1
time 5
to 6
tralfamadore 2
tralfamadorians 1
travels 2
true 1
underground 1
united 2
unstuck 1
upon 1
veracity 1
vows 1
walking 1
war 2
wars 1
wear 1
weary 5
when 1
while 1
who 2
wildhack 1
with 2
wooden 1
writing 1
zoo 1
