1990325
/m/06cbmf
/m/06cbmf
Roald Dahl

116 1
a 6
able 1
about 1
active 1
after 2
against 1
air 2
aircraft 3
also 1
an 3
and 6
are 2
as 6
autobiographical 1
baby 1
book 4
born 1
both 1
british 1
but 1
by 3
channel 1
character 1
common 1
concerns 1
connection 1
contains 1
convince 1
crash 1
crashthe 1
creatures 1
dahl 3
derby 1
destroyed 1
destruction 1
details 1
each 1
enemy 1
english 1
epsom 2
eventually 1
explanation 1
factory 1
females 1
fifinella 1
fifinellas 1
fight 1
fighter 2
filly 1
flight 1
flown 1
flying 3
for 3
force 2
forces 1
forest 1
from 2
great 1
gremlin 1
gremlins 6
gus 2
had 2
has 1
hawker 1
he 1
his 1
hitler 1
home 1
hurricane 2
in 6
injuries 1
instance 1
into 1
invoked 1
is 2
join 1
known 1
landing 1
later 1
leave 1
libya 1
lives 1
make 1
mechanical 1
mischievous 1
mishaps 1
motivation 1
mythical 1
name 1
nazis 1
oaks 1
of 5
often 1
on 1
operational 1
ordinary 1
other 1
over 1
parachute 1
particularly 1
picturesque 1
pilot 1
pilots 1
principal 1
racehorse 1
raf 1
rather 2
razed 1
repair 1
restore 1
retrained 1
returned 1
revenge 1
royal 2
sabotage 1
sabotaging 1
serious 1
severe 1
should 1
status 1
story 1
sustained 1
taken 1
temporarily 1
than 2
that 2
the 19
their 1
they 2
title 1
to 5
troubles 1
was 3
water 1
way 1
which 1
widgets 1
won 1
year 1
