3601696
/m/09p6g1
/m/09p6g1
Vernor Vinge
2006-05-16
a 20
access 2
accomplished 1
across 1
action 1
adapt 1
addition 1
advanced 1
advances 1
algorithm 1
all 1
allow 1
almost 2
also 4
always 1
alzheimer 1
an 5
and 17
anthropomorphic 1
any 1
apparition 2
are 8
area 1
areas 1
artwork 1
as 6
at 1
augmentation 2
augmented 3
authors 1
avatar 1
away 1
based 2
bases 1
basic 1
be 3
been 1
behind 1
belief 3
between 1
blueprint 1
built 1
but 2
by 5
c 1
called 1
can 5
cast 1
change 1
character 2
characters 2
chat 1
cheapnet 1
choose 2
circle 2
circles 1
clothing 1
collision 1
commercial 2
commonplace 1
communication 1
companies 1
compensates 1
competence 1
complex 1
computer 1
confederation 1
considerable 1
considered 1
contact 1
contribute 1
control 1
coordinate 1
deficiencies 1
details 1
develops 1
different 2
disease 1
display 1
distances 1
doctors 1
dominant 1
drawn 1
egan 1
entertainment 1
entrylevel 1
enum 1
environments 1
escher 1
estranged 1
every 1
example 2
eye 1
faculties 1
family 1
feedback 1
fictional 3
for 4
formerly 1
free 1
frightening 1
from 2
functional 1
furniture 1
gaming 3
give 1
globally 1
globe 1
granddaughter 1
graphics 2
gu 2
h 1
hacek 1
haptic 1
haptics 2
has 1
have 2
hiding 1
himself 1
his 3
how 2
however 2
humans 1
identifier 1
implemented 1
implications 1
in 14
including 1
inclusion 1
individuals 1
instead 1
intellect 1
intelligence 1
interacting 1
into 2
introduces 1
involved 1
involving 1
is 7
itself 1
j 1
jerzy 1
jitter 1
k 1
known 1
laptops 1
large 2
largest 1
latency 1
learn 1
lenses 1
life 1
live 1
location 1
long 1
lovecraft 1
m 1
machine 1
maintenance 1
man 1
manager 1
managing 1
manifests 1
manner 1
many 1
meanspirited 1
mediatedreality 1
medical 2
mentioned 1
merged 1
messages 1
might 3
mind 1
miri 1
mixed 1
more 1
must 2
network 1
networked 2
new 1
normally 1
not 1
notoriously 1
novel 7
object 2
of 17
offered 1
officer 1
ominous 1
on 2
onto 1
or 4
overlay 1
overlaying 1
overlays 2
p 1
partially 1
patient 1
personal 1
personality 1
physical 1
piece 1
plot 1
poet 1
possible 1
possibly 1
practically 1
pratchett 1
presented 1
presumably 1
principle 1
problems 1
producing 1
profound 1
project 1
purposes 1
rabbit 1
reached 1
realities 1
reality 5
rebuild 1
receive 1
recovering 1
relationships 1
relics 1
replace 1
representations 1
responsibility 1
retinal 1
return 1
robert 5
robot 1
robust 1
room 2
rowling 1
same 1
schematic 1
second 1
see 1
seen 1
sell 1
send 1
service 1
set 1
several 1
shadows 1
signs 1
silent 1
skill 1
slightly 1
slowly 1
smart 1
sming 1
soccer 1
solutions 1
spielberg 1
spielbergrowling 1
steven 1
subscribed 1
such 3
superhuman 1
technical 1
technology 4
technophobic 1
terry 1
thanks 1
that 3
the 30
their 2
them 1
there 2
these 2
this 4
through 2
time 2
to 11
traitorous 1
type 1
ultimately 1
unique 1
universes 1
us 1
use 1
used 2
user 2
users 1
using 2
variety 1
vendors 1
very 1
video 1
virtual 4
vital 1
vrd 1
vrds 1
wear 1
wearing 1
what 1
when 1
where 1
who 2
wiki 1
with 8
workers 1
world 2
worldrenowned 1
worlds 2
would 1
