13116455
/m/02z7570
/m/02z7570
Stephenie Meyer
2008-05-06
{"/m/06n90": "Science Fiction", "/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
2012 1
a 20
aberration 1
about 1
access 2
after 4
aliens 1
allows 1
also 1
although 1
always 1
amount 1
an 2
and 15
another 1
antagonism 1
any 1
are 1
arises 1
as 2
asleep 1
association 1
at 2
attempt 1
awakens 1
away 1
be 3
because 1
becomes 2
been 1
before 1
being 1
bodies 1
body 4
bombards 1
book 1
both 2
boyfriend 2
brings 1
brother 3
buried 1
but 1
by 6
captured 1
cave 1
caves 3
chance 1
childhood 1
cities 1
close 1
complete 1
complex 2
concern 1
condition 2
conditions 1
confesses 1
connections 1
conscious 1
constant 1
containing 1
contempt 1
continues 1
controversial 1
credibility 1
deal 1
desert 1
despite 1
destroyed 1
detaching 1
develop 1
developed 1
develops 3
die 1
discovering 1
dislike 1
distant 1
distrust 1
disturbed 1
do 1
dozen 1
during 1
dying 2
eight 1
emergency 1
emotional 1
emotions 1
ending 1
enough 1
enslaved 1
enters 1
erasing 1
especially 1
eventually 1
experimenting 1
expulsion 1
extracted 1
failure 1
falls 1
family 1
feelings 1
feels 1
few 1
final 1
finally 1
find 2
finds 1
for 8
forcibly 1
former 1
free 2
friend 1
friends 1
from 5
gain 1
getting 1
girl 1
girlfriend 2
given 1
group 7
had 2
harm 1
has 3
have 4
he 6
headed 1
help 1
her 23
hideout 1
his 3
hospital 1
host 3
hosts 1
however 1
human 1
humans 7
humansympathizing 1
ian 3
identified 1
implied 1
in 10
including 2
individual 1
infection 1
infestation 1
information 3
injured 1
inserted 2
insertion 1
instead 1
intent 1
into 1
invasion 1
investigation 1
is 14
it 1
jamie 1
jared 2
jeb 2
kill 1
killing 1
kyle 3
latter 1
least 1
left 1
life 2
like 1
lived 1
love 1
lover 1
maintain 1
makes 2
medic 1
medicine 1
meet 1
mel 4
melanie 6
member 1
members 1
memories 1
method 1
might 1
missions 1
more 2
most 1
mourning 1
nearly 1
news 1
ninth 1
no 1
not 5
notably 1
occupants 1
of 18
ohea 1
on 4
one 3
only 3
original 1
other 2
others 1
out 3
over 1
own 2
parasitic 1
partially 1
participant 1
particular 1
peaceful 1
period 1
personality 1
pet 1
plan 1
planets 1
pressures 1
previously 1
process 1
produce 1
protector 1
proves 1
rather 1
realization 1
rebel 1
reclaiming 1
regular 1
relationship 1
relative 1
remains 3
removed 3
removing 1
report 1
rescue 1
revealed 1
reveals 2
roused 1
scavenging 2
scene 1
second 1
seek 1
seeker 3
serious 1
sets 1
setup 1
several 2
severely 1
shame 1
she 12
since 1
situation 1
small 1
sneaking 1
sneaks 1
so 2
some 1
soul 6
soulrun 1
souls 6
stryder 1
support 1
survive 1
surviving 1
sympathetically 1
take 1
taken 1
takes 1
technique 1
than 2
that 4
the 41
their 2
them 3
they 2
this 4
those 1
threatened 1
to 19
together 1
too 1
traumatized 1
turns 1
two 1
uncle 1
under 1
undeterred 1
unique 1
unwilling 1
up 1
upon 1
using 2
utterly 1
view 1
views 1
wanderer 11
was 2
ways 1
when 3
where 2
which 3
who 7
with 12
withdrawing 1
without 1
works 1
yet 1
