2292761
/m/071fcb
/m/071fcb
Agatha Christie
1953-11-09
a 10
about 1
according 1
accused 1
acquainted 1
administering 1
admit 1
admits 1
after 1
all 1
also 1
an 1
and 10
are 2
arranged 1
arrives 1
as 4
at 2
be 4
been 1
begins 1
berries 1
blackbird 2
blackbirds 1
body 1
business 1
businessman 1
but 1
by 1
cardiotoxic 1
childhood 1
children 2
class 1
clear 1
clothes 1
clue 1
crimes 2
cyanide 1
darils 1
daughter 1
dead 1
dealing 1
death 1
diagnosis 1
dies 1
discovers 1
diterpenes 1
does 1
drinking 1
drug 1
ellen 1
european 1
fabricating 1
fact 1
falsely 1
family 1
father 1
finger 1
for 2
fortescue 6
found 4
from 2
full 1
glady 1
gladys 4
going 1
gullible 1
had 2
hanging 1
having 2
he 5
her 4
herring 1
him 2
his 9
household 1
however 1
in 10
indeed 1
inherit 1
inheritance 1
inspector 1
into 1
investigating 1
involvement 1
is 5
it 2
jennifer 2
joining 1
kenya 2
killed 3
knew 1
laced 1
lancelot 2
leaves 1
line 1
mackenzie 3
maid 2
main 1
mangled 1
marmalade 1
marple 5
met 1
middle 1
mine 4
miss 4
mixture 1
morning 1
murder 1
murdered 2
murderer 1
murders 1
name 1
named 1
near 1
needing 1
neele 1
new 1
next 1
nose 1
not 2
nursery 1
of 12
old 3
older 1
on 3
one 1
only 1
order 1
other 1
out 3
partner 2
past 1
pattern 1
peg 1
percival 2
placing 1
pocket 1
point 1
poison 2
police 1
realizes 1
red 1
remind 1
responsibility 1
responsible 1
rex 3
rhyme 2
romanced 1
romantic 1
ruining 1
rye 1
scapegoat 1
senile 1
she 5
shocked 1
sing 1
sixpence 1
so 3
something 2
son 2
song 1
stepmother 1
story 1
suddenly 1
suspect 1
suspected 1
swindled 1
taking 1
talked 1
taxine 1
tea 2
tell 1
telling 1
that 9
the 34
then 1
thinking 1
times 1
to 11
trace 1
tree 1
truth 2
turn 1
turns 1
two 1
until 1
up 1
upper 1
use 1
valuable 1
various 1
victim 1
wanted 1
was 9
washing 1
well 1
went 1
when 2
which 1
while 1
whom 1
wife 3
with 4
would 1
yew 1
younger 1
