13340278
/m/03c273l
/m/03c273l
Noel Streatfeild
1957
a 11
acrobatics 3
acting 1
adopted 1
all 1
almost 1
also 4
although 1
and 13
are 4
as 6
at 4
attractive 1
audition 1
aunt 1
ballet 5
because 1
become 1
before 1
begins 1
blood 1
boarders 1
book 2
bribe 1
brother 1
budding 1
but 4
by 2
career 1
child 1
children 1
competition 1
continue 1
continues 2
cora 2
cousin 1
dancer 4
dancing 4
decides 2
determined 2
died 1
dies 1
does 1
dulcie 3
elocution 2
ends 1
enjoys 1
excel 1
excels 1
extra 1
family 1
father 2
film 1
finish 1
for 5
from 1
girls 3
go 1
happy 1
hard 1
has 1
have 1
her 8
hilary 11
his 2
horrified 1
how 2
in 5
intended 1
interested 1
is 7
it 2
just 2
keep 1
lessons 1
little 2
live 1
living 1
make 1
makes 2
meet 1
money 1
mother 5
mrs 4
musical 1
musicals 1
must 2
no 1
not 2
of 2
off 2
older 1
only 2
order 1
pantomimes 1
perform 1
puts 1
rachel 11
ranges 1
realizes 1
referred 1
relative 1
remains 1
required 1
result 1
reviews 1
roles 1
royal 1
runs 1
school 3
seven 1
she 6
sister 1
so 1
spoiled 1
star 1
storm 1
take 2
taking 1
talent 2
talented 2
tap 1
taught 1
teach 2
ten 1
than 1
that 2
the 11
theatre 1
theatrical 1
their 5
they 1
this 1
though 1
through 1
to 12
tom 1
train 1
tries 1
troupes 2
tutor 1
type 1
uncle 1
upset 1
very 2
was 3
well 1
were 1
when 3
which 2
who 1
wife 1
will 2
wintle 3
with 5
wonder 1
wonders 2
works 1
year 1
