7683144
/m/0268sbz
/m/0268sbz
Sid Hartman
1997-08
11 1
1112 1
147157 1
160s 1
161 1
17 1
170s 1
180 1
187 1
4 1
a 10
about 3
after 3
against 1
allowed 1
also 1
and 11
are 1
as 4
baseball 1
basketball 2
bay 1
because 1
been 1
big 1
biggest 1
book 1
books 1
bought 2
bowl 1
bowls 1
brooks 1
brought 1
bud 1
built 2
business 1
by 1
calls 1
calvin 3
came 3
carl 1
cheap 1
cities 2
coached 1
coming 1
cup 1
death 1
did 2
differently 1
dome 1
dropping 1
dynasty 1
even 1
events 1
few 1
final 1
finals 1
firing 1
first 1
football 1
for 4
four 1
from 1
games 1
get 1
getting 1
goes 3
going 1
gold 1
good 1
gopher 1
gophers 1
got 2
grant 1
griffith 2
had 5
have 1
he 9
held 1
herb 1
high 1
his 2
hockey 1
how 1
huge 1
if 1
in 13
interest 1
into 1
it 4
job 1
jokes 1
junior 1
kid 1
lakers 2
life 1
lot 1
made 4
many 1
martin 1
may 1
medal 1
metrodome 2
mikel 1
mikkelson 1
minimum 1
minneapolis 1
minnesota 2
mistake 1
new 1
news 1
newspapers 2
north 2
notes 1
of 4
officials 1
olympic 2
on 5
only 2
open 1
out 1
owners 1
phone 1
played 1
pohlad 1
popular 1
practical 1
pro 1
progresses 1
reason 1
reporters 1
reporting 1
requirements 1
resign 1
run 1
say 2
saying 1
says 2
school 1
seats 1
sell 1
series 2
shabby 1
sid 7
sporting 1
sports 2
stadium 1
stanley 1
stars 2
starts 1
stay 1
story 1
success 1
super 2
supporter 1
talk 2
talking 1
talks 1
tampa 1
team 5
that 9
the 38
their 1
then 3
they 6
though 1
thought 1
threats 1
to 15
told 1
town 1
transitions 1
trust 1
twin 2
twins 6
until 1
us 2
verge 1
very 1
viking 1
vikings 2
was 8
way 1
well 1
were 4
werent 1
west 1
when 3
with 2
won 1
world 2
would 3
