14604271
/m/03d996g
/m/03d996g
Antony Johnston
2007-09-03

14yearold 1
180s 1
a 18
academy 2
africa 1
african 1
after 2
again 1
alex 19
alive 1
alps 1
alters 1
ambiguous 1
among 1
an 2
and 20
apartheid 2
are 4
arriving 1
as 2
assets 1
assigned 1
at 4
attempts 1
attending 1
avoided 1
back 1
basement 1
baxter 1
be 1
became 1
because 1
bed 1
been 1
before 1
befriends 1
beginning 1
behaviour 2
billionaires 1
biology 1
blanc 5
body 1
bones 1
both 1
boy 1
boys 6
broken 1
building 1
but 1
by 6
cage 1
capture 1
captures 1
chapter 1
circumstances 1
class 1
clone 5
cloned 1
clones 3
clothes 1
complacent 1
copies 1
country 1
cover 1
crashes 1
crashing 1
david 1
day 2
death 1
deaths 1
die 1
died 2
dinner 1
dissect 1
downstairs 1
dr 4
drink 1
driving 1
drugged 1
each 1
earstud 1
ending 1
entire 1
escape 3
escaped 1
eventually 1
examination 1
examines 1
exploding 1
faints 1
falling 1
fashions 1
fight 1
final 1
find 2
finds 1
fire 1
floor 1
following 2
for 1
forbidden 1
fractured 1
french 1
friend 2
from 2
gadget 1
gemini 1
general 1
genius 1
given 1
globally 1
goes 2
greatly 1
grief 8
had 1
has 1
have 1
he 5
helicopter 1
help 1
him 9
himself 1
his 12
home 1
hospital 1
hotel 2
house 1
however 1
hugo 1
identity 1
imitate 1
imprisons 1
in 8
inheritance 1
into 1
introduced 1
investigate 1
investigations 1
is 15
it 5
ivanov 1
j 1
jail 1
james 4
jumping 1
key 1
killed 1
kills 1
knocks 1
lady 1
last 1
later 1
left 1
liberate 1
lives 1
locked 1
longer 1
lookalike 1
magnate 1
makeshift 1
man 1
mi6 3
michael 1
minute 1
monitoring 1
most 1
mr 1
mrs 3
mysterious 1
name 1
named 3
next 1
night 1
no 1
not 1
notice 1
novel 1
of 12
off 1
on 3
one 2
or 1
other 1
out 1
over 2
overhears 1
parents 2
pass 1
photographs 1
plan 1
planning 1
plastic 1
point 5
powerful 1
project 1
put 1
ramp 1
real 4
reason 1
rebellious 2
regime 1
reinstate 1
replaced 1
replica 1
replicas 1
resemble 1
resembles 1
returned 1
revealed 1
reveals 1
rider 1
room 1
rooms 2
roscoe 1
run 1
sas 2
school 2
science 1
scientist 1
screens 1
sees 1
sends 1
sent 1
several 1
sir 1
sixteen 1
skeleton 1
skull 1
smithers 1
snowboard 1
snowmobile 1
so 1
soldier 1
soldiers 1
someone 1
something 1
son 2
soon 1
south 2
sprintz 1
starting 1
stellenbosch 3
stormbreaker 1
strips 1
student 1
suddenly 1
supermarket 1
supported 1
surgeon 1
surgically 1
survived 1
swapped 2
take 2
taken 3
teacher 1
team 1
tells 1
that 6
the 42
their 1
them 4
then 4
they 1
thinks 1
third 1
this 1
though 1
to 21
told 2
took 1
transported 1
truth 1
turns 1
tv 1
unconscious 1
under 1
up 1
upon 1
upstairs 1
used 1
uses 1
viktor 1
visiting 1
was 3
way 1
were 1
when 1
where 4
whether 1
while 1
who 5
why 1
will 3
with 6
wolf 1
world 2
wrong 1
