11491800
/m/02rfps7
/m/02rfps7
Etel Adnan
1978
a 2
always 1
and 3
are 1
as 2
at 1
becomes 1
beirut 2
bouna 1
cannot 1
chapter 1
chapters 1
children 1
civil 1
deafmute 1
death 1
description 1
devoted 1
divided 2
each 3
end 1
escalates 1
events 1
female 1
film 3
follow 1
following 1
for 3
fouad 1
friar 1
from 2
given 1
grounds 1
happening 1
herself 1
him 1
his 1
i 5
ii 2
in 3
into 3
is 4
lebanese 1
lias 1
marie 3
mentioned 1
mounir 4
narrator 3
narrators 3
novel 1
of 7
offers 1
on 1
one 2
order 1
perspective 1
political 1
prewar 1
progress 1
relating 1
repudiates 1
rose 3
school 1
script 1
section 2
sections 2
seven 1
she 1
sitt 3
suggestions 1
surrounding 1
teaches 1
tells 1
that 5
the 18
they 1
this 1
three 2
time 7
times 1
to 2
tony 1
too 1
two 1
unnamed 1
violence 1
violent 1
wanting 1
war 1
what 1
with 2
write 2
