3228413
/m/025sn9k
/m/025sn9k
Katharine Kerr
1986
1045 1
1052 1
1058 1
1062 1
643 1
66 1
a 30
abandoned 1
aberwyn 1
about 2
accepted 1
accompany 1
across 1
aderyn 4
adyroc 3
against 1
aid 1
albaral 1
all 2
also 3
an 8
and 23
angers 1
apprentice 1
archers 1
are 3
arent 1
army 1
arrest 1
arrive 1
arrives 1
as 3
ask 1
at 3
attacked 1
attackers 1
attacking 2
autumn 1
away 1
back 1
bandits 3
banish 1
bard 2
bastard 1
because 1
been 4
beg 1
begin 1
begins 1
begun 1
behavior 1
betrothal 2
betrothed 1
birthday 1
blaen 3
boar 1
booms 1
border 1
born 1
both 1
bound 1
boy 2
boys 1
brangwen 4
breaking 1
breaks 1
brother 2
bruddlyn 1
but 5
buys 1
by 8
called 2
calls 1
camp 1
can 1
cannobaen 2
caravan 3
carries 1
child 2
chronological 1
city 1
clan 2
clear 2
clue 1
comes 3
commonborn 1
conclusion 1
considers 1
corbyn 2
councilor 1
court 1
craft 1
crime 1
cullyn 5
dagger 3
daughter 1
daylong 1
dead 1
decides 2
defeated 1
defense 1
destiny 3
deverrian 1
deverry 2
devote 1
different 1
discovers 4
disinherits 1
distraught 1
dreams 1
drought 1
drowns 1
dun 2
dweomer 5
earning 1
edge 1
elder 1
eldest 1
eldidd 1
end 1
entire 2
errie 1
escapes 1
even 1
events 1
eventually 1
ever 1
exercise 1
exile 1
falcon 2
fall 1
falls 1
father 2
fathered 1
fever 1
find 2
finding 1
finds 3
flees 1
for 6
fort 1
fosterage 1
friend 1
from 5
fugitive 1
galrion 3
galrions 2
gerraent 4
gerraents 1
girl 3
gives 1
gratitude 1
great 1
grief 1
guarding 1
guide 1
guilt 1
gweran 3
gwerans 1
gwerbret 1
halfhumanhalfwestfolk 1
hanged 1
happening 1
has 9
have 2
having 1
he 17
heading 1
her 8
herbcraft 1
here 2
herself 1
him 10
himself 1
hire 1
his 20
home 1
house 1
if 1
in 11
incestuous 2
including 1
indicating 1
infant 1
infuriated 1
intermediate 1
intertwined 1
intervene 1
into 5
intuition 1
irregularly 1
is 17
it 2
jill 13
jills 2
killed 1
kills 1
king 1
kingdoms 1
known 1
lands 1
later 2
learns 1
legal 1
life 2
like 1
linked 1
listed 1
little 1
lives 2
local 2
loddlaen 3
long 1
lord 2
lords 2
loses 1
love 2
lovyan 3
lovyans 2
luck 2
lyssa 2
lyssas 1
made 1
maelwaedd 2
make 1
makes 1
malover 1
man 2
matters 1
meaning 1
meantime 1
meanwhile 2
meets 3
mercenary 1
midst 1
minor 1
month 1
more 2
mother 2
murderer 1
mysterious 1
name 2
nev 1
nevyn 10
nevyns 2
new 1
no 2
nobility 1
noble 1
not 2
nothing 1
notices 1
novel 1
number 1
oath 2
of 22
old 1
omen 1
on 7
one 3
ones 1
or 2
order 2
originally 1
otho 2
out 1
over 1
overlord 1
overwhelmed 1
owl 1
own 3
owner 1
person 1
power 1
precognitive 1
present 1
presented 1
prince 2
proceedings 1
promise 1
property 1
prophecy 1
province 3
provokes 1
put 1
puts 1
rank 2
rashly 1
reached 1
rebellion 1
reborn 4
receives 1
relationship 2
rest 1
returns 1
revenge 1
rhodry 6
rhodrys 1
rhys 1
riddle 1
rider 1
right 1
road 2
ruse 1
sacrosanct 1
saves 1
searching 1
secretly 1
see 1
sees 4
sends 2
servitors 1
seryan 2
sets 1
seven 1
sevenyearold 1
several 2
she 2
silver 2
sitting 1
six 1
sky 1
slain 1
smith 1
so 1
soldier 1
some 2
somehow 1
sometime 1
son 4
soon 1
sorcerer 1
spirits 1
spy 1
stand 1
stavemen 1
stroke 1
studies 1
studying 2
subterfuge 1
succession 1
swears 1
swordcraft 1
swordsmen 1
sworn 1
take 2
taken 2
takes 4
taking 1
tanyc 4
tavern 1
taxes 1
teaches 1
teaching 1
tells 2
tenyearold 1
than 1
that 11
the 51
their 2
then 1
they 2
thin 1
things 1
thirteen 1
this 1
though 1
thunder 1
tieryn 2
time 2
titles 1
to 24
together 1
toward 1
towards 1
trade 1
trading 2
training 1
transforms 1
trouble 1
turn 1
turns 1
two 3
unable 1
under 1
unless 1
unnatural 1
until 1
vassals 1
very 1
village 1
vision 1
visits 1
wanderings 1
warband 2
warriors 1
way 2
weapon 1
were 1
western 1
westfolk 4
what 1
when 8
where 1
which 1
while 1
who 6
whose 1
wife 1
wildfolk 1
will 2
with 11
wont 1
wyrd 1
year 6
years 1
yn 1
you 1
