1862100
/m/061xn_
/m/061xn_
Robin Jarvis
1993-09-30
a 51
accepts 1
accompanied 1
accompany 1
acorn 15
acts 1
after 4
again 2
ages 1
agrees 1
aldertide 1
alive 2
all 2
allied 1
alone 1
along 1
also 3
although 1
among 1
amount 1
amulet 2
amusing 1
an 5
ancient 3
ancientwho 1
and 80
animals 2
answer 1
any 1
anywhere 1
appear 1
appears 3
approaches 4
approaching 1
are 27
area 1
army 2
around 3
arrive 3
arrives 3
as 16
asks 3
astonished 1
at 6
attached 1
attack 2
attacked 1
attention 1
automatically 1
awakened 1
awakens 1
away 5
back 2
bag 1
bat 8
bats 11
battle 4
be 7
beacon 1
beautiful 1
because 3
becomes 1
been 7
befalling 1
before 10
begin 2
beginning 1
begins 4
begun 2
being 1
believe 2
believes 1
believing 1
bells 3
below 1
betray 1
betrayed 1
better 1
birthright 1
bit 2
black 1
blades 1
blind 2
blood 3
blows 1
bluebells 1
body 3
book 1
both 2
bound 1
break 1
bring 2
burning 1
but 19
by 15
called 3
calls 2
came 2
camp 1
can 4
captain 1
captured 1
care 2
carries 1
cart 1
carves 1
caught 1
cavein 1
celebration 2
cell 1
certain 1
certainly 1
chamber 2
chance 1
changes 1
channel 1
chests 1
child 1
choice 1
choking 1
claim 1
claws 1
cleaned 1
cloaked 1
collapses 1
come 2
coming 1
company 1
completely 1
confirmation 1
confirms 1
confronted 1
consort 1
continue 1
convince 2
convinced 1
costume 2
could 2
creatures 1
crows 1
crying 1
cult 2
cured 1
curse 1
cursed 1
curses 1
cyllinus 1
daffodils 1
dance 1
dark 3
daughter 2
day 4
days 2
dead 1
death 1
decide 2
decides 1
deep 1
deeper 1
defeated 1
defeating 1
deptford 1
despite 1
destroy 3
devour 1
die 2
dies 1
dipped 1
dipping 1
dips 1
disappears 2
disappoint 1
discover 1
discovered 1
disease 1
disheartened 1
dismay 2
distracted 1
distracts 1
do 1
does 2
doesnt 5
doom 2
down 6
drag 1
dressed 1
drew 1
drink 2
drops 1
drowned 1
duir 1
duty 1
eager 2
eagerly 1
earth 1
eat 1
effect 1
effort 1
encounter 1
end 1
enemy 3
entire 1
escape 3
even 1
ever 1
everyone 1
everything 1
evil 2
exactly 1
exhausted 1
experience 1
explain 1
extremely 1
eyes 1
face 2
faced 1
fact 2
faints 1
falcon 3
fallen 2
falling 1
falls 1
far 1
fate 1
fears 1
feel 1
feeling 2
fenlyn 2
fenny 4
festivities 1
field 1
fight 1
fighting 2
figure 3
figures 1
filled 1
finally 3
find 2
fire 3
first 2
five 2
following 1
follows 1
for 12
force 1
forces 1
forest 4
form 1
found 1
four 2
free 1
friend 1
friendly 2
friends 2
from 9
fulfilled 1
full 1
fur 1
future 2
gather 1
gathered 1
gave 1
get 2
ghost 1
ghosts 1
giraldus 10
given 1
giving 1
go 2
god 3
goddess 2
gods 1
goes 3
gone 1
goodbyes 1
grabs 1
grass 1
great 1
green 4
greenreach 8
grief 1
grim 1
griselda 1
ground 3
group 7
grudgingly 1
guard 1
guards 4
guests 1
guide 1
guilty 1
had 4
hallowed 5
handmaiden 1
happiness 1
hare 1
has 14
have 3
hazel 6
he 39
heading 1
headquarters 1
hear 1
heard 1
hears 2
heartbroken 1
hedgehog 1
help 2
her 44
herbs 2
here 1
hesitant 1
high 9
hill 2
him 17
himself 5
his 15
hits 1
hobb 14
hobber 1
hobbers 9
hold 1
holds 1
holiday 1
home 1
hoping 1
horrifying 1
horror 3
hot 1
however 6
hrethel 1
hundreds 1
hurries 1
husband 1
identity 1
ill 1
imitate 1
important 1
imprisons 1
in 30
inauguration 1
information 1
informs 1
insight 1
insists 1
into 13
introduce 1
invite 1
is 53
it 17
its 2
jester 3
join 2
journey 2
jubilantthat 1
just 1
kicks 1
kill 1
killed 1
kills 2
kind 1
kinds 1
knife 1
know 4
knowing 3
lady 2
lake 3
lame 1
land 1
large 2
later 5
launches 1
lead 1
leads 1
learn 1
leave 1
leaves 1
led 3
left 2
legend 1
leprous 1
lifts 1
light 1
like 1
limbs 1
listen 1
little 1
live 1
locks 2
london 1
longs 1
look 2
looks 2
love 3
lured 1
lying 3
mabb 1
maculatum 3
mad 1
maiden 5
make 1
manage 1
manages 2
many 5
march 2
meadow 1
means 1
meanwhile 1
meet 1
member 1
merely 1
message 1
messenger 1
mice 1
middle 1
midst 1
misguided 1
mixture 1
mole 3
moment 1
mood 1
moon 1
more 4
morwenna 9
most 3
mouse 2
move 1
much 3
must 2
mysterious 1
named 2
near 2
nearly 1
neck 2
necklace 1
never 1
nevertheless 1
next 1
night 6
ninnia 3
no 4
none 1
not 11
now 6
number 1
nursemaid 1
oak 6
objects 1
of 68
offers 1
office 2
often 1
on 8
once 1
one 7
only 2
onto 1
opportunity 1
or 2
orchard 3
other 1
others 1
out 10
outside 1
over 1
own 1
painful 1
palm 1
participate 1
particular 2
passageway 1
peeled 1
peeling 2
pendant 1
peregrine 1
perishes 1
pet 1
piece 1
pigwiggen 1
pilgrimage 1
pit 1
place 3
planned 1
planted 1
poison 2
poisoning 1
politely 1
polluted 1
power 1
powers 1
prefer 1
preparations 1
prevent 1
previously 1
priest 9
priestess 1
prisoner 2
probably 1
proclaims 1
prop 1
prophesy 1
pulls 2
puppets 1
purfote 1
pursued 1
pursuing 1
quite 1
races 1
raith 1
rat 5
reach 1
reaching 1
readying 1
realisation 1
realise 1
realised 1
realises 3
really 1
realm 8
received 1
receives 1
recover 1
red 1
refuses 1
released 1
relinquish 1
remaining 2
removed 1
rescue 1
resisting 1
return 2
reveals 5
right 1
rise 1
rising 1
ruined 1
ruler 2
run 2
running 1
runs 1
rush 1
rushes 1
sacrifice 1
sacrificed 1
sacrificing 1
saddened 1
safety 1
same 4
saved 1
say 2
saying 1
says 4
searching 1
secretly 1
see 5
seeing 1
seems 1
sees 3
send 1
sending 1
separated 1
seriously 1
set 1
seven 1
several 1
she 23
shock 2
shocked 1
shrew 2
sidhe 1
signs 1
silk 1
silken 1
silver 12
since 3
sink 1
sips 1
skinned 1
sleep 1
snatches 1
some 1
somewhere 1
soon 9
sort 1
sound 3
speak 2
speaking 1
special 1
spirit 1
squirrel 13
squirrels 16
stares 1
starglass 2
staring 1
starts 2
starwife 8
stay 1
still 2
stoat 3
stolen 2
story 3
strange 1
strangle 1
stream 1
stronghold 1
suddenly 2
suffer 1
summon 1
summoned 1
summoning 1
summons 1
surging 1
surrounded 2
swoop 1
swoops 1
symbol 1
symkin 1
take 1
taken 3
takes 2
taking 2
tale 1
talk 1
task 1
taunts 1
tell 5
telling 1
tells 7
than 1
that 56
the 215
their 12
them 18
themselves 2
then 6
there 4
these 2
they 30
thinks 1
third 1
this 13
those 1
though 2
three 3
through 6
thrown 1
time 3
title 1
to 88
toads 1
together 4
too 1
took 1
topples 1
tosses 1
toward 2
towards 1
tower 1
travel 1
travellers 2
travelling 1
travels 1
treachery 2
treated 2
trees 2
trilogy 1
true 3
truly 1
trusted 1
try 3
tunnel 2
turns 2
two 7
tysle 9
unbeknownst 1
underground 1
understands 1
unfortunate 1
unfortunately 1
unknowing 1
unties 1
until 1
up 11
upon 2
use 1
using 1
verifies 1
very 4
vesper 30
vespertilio 1
victim 1
voice 1
wait 1
wanting 1
wants 2
war 1
warden 1
was 6
watch 1
watches 1
watching 1
water 1
way 7
wearer 1
wears 1
weeks 1
well 1
wells 1
wendel 11
were 2
what 6
when 5
where 6
wherein 1
which 6
while 3
white 1
who 16
whom 2
wicked 1
will 13
winter 1
wishes 1
with 13
within 2
wood 1
woodland 1
woodlanders 6
world 4
worship 2
worst 1
would 1
wounded 1
wreckage 1
years 1
young 2
ysabelle 39
