6667762
/m/0ggnrb
/m/0ggnrb
Irvine Welsh
2006
{"/m/05hgj": "Novel"}
a 9
accrue 1
after 1
alan 1
alcohol 1
alcoholics 1
alcoholism 1
alluded 1
american 1
an 1
and 15
anonymous 1
around 1
as 3
at 5
attendance 1
be 2
becomes 2
bedroom 1
been 1
being 1
body 1
book 1
both 3
brian 3
brother 1
bullies 1
but 2
by 4
called 3
caused 1
causes 1
certainty 1
chef 2
chefs 1
collects 1
comes 1
cominsky 1
computer 1
conceives 1
continues 1
conventions 1
damage 1
danny 1
dawns 1
de 2
dependency 1
describes 1
dies 1
disappointed 1
discovers 1
dislike 1
does 1
dorothy 1
drinker 1
drinking 1
drinks 1
during 1
edinburgh 2
end 1
enjoys 1
environmental 1
exclusively 1
exgirlfriend 1
father 4
fc 1
federico 1
fellini 1
films 1
find 1
football 1
for 6
francisco 1
fretais 2
from 1
game 1
girlfriend 1
goes 1
gradually 1
gravely 1
grounds 1
group 1
had 1
half 1
hand 1
harddrinking 1
harvest 1
has 1
having 1
he 11
health 2
heavy 2
hibernian 1
hillwalking 1
him 4
his 11
homosexual 1
hooliganism 1
horlicks 1
hospital 1
hugh 1
hykers 1
hyp 1
ill 1
in 7
inflicted 1
injuring 1
instead 1
involved 1
inwardlooking 1
is 8
it 2
kay 2
keith 1
kibby 11
kill 1
killing 1
knows 1
leith 1
life 1
lifestyle 1
liver 1
local 1
lose 1
love 1
macdiarmid 1
man 3
master 1
meeting 1
mercilessly 1
might 1
model 1
moon 1
mortally 1
mutual 1
needs 1
obsessively 1
of 5
officers 1
on 4
ought 1
out 2
own 1
particularly 1
period 1
plays 1
plot 1
promotion 1
puts 1
question 1
reading 2
realise 1
realises 1
reasonable 1
relationship 2
relaxes 1
relishing 1
resigns 1
restaurantinspection 1
retired 1
returns 1
revolves 1
right 1
rimbaud 1
san 1
schopenhauer 1
search 3
searching 1
secrets 1
sex 1
shape 1
shy 1
sister 1
skinner 9
social 1
someone 1
star 1
starts 1
story 1
strong 1
strongly 1
succeeding 1
supports 1
team 2
that 4
the 13
their 1
them 1
they 1
this 3
to 7
trains 1
transplant 1
trek 1
tries 1
turns 1
undermines 1
unknown 1
verlaine 1
vicariously 1
was 1
watching 1
weight 1
when 3
where 1
while 1
who 3
with 5
work 3
