15311113
/m/09mv9c
/m/09mv9c
John Boynton Priestley
1954
{"/m/014dfn": "Speculative fiction"}
110 1
121 1
126 1
200000 1
a 29
about 1
accept 1
accompanied 1
acquaintance 1
admit 1
advance 1
after 3
afternoon 1
afterwards 1
agreeing 1
ahead 1
all 2
allows 1
also 1
although 1
an 7
and 32
announces 1
another 2
aphasic 1
approaches 1
are 8
arrange 1
arrival 1
as 5
ask 2
asks 1
assert 1
asserts 1
associates 2
at 15
away 1
back 2
barman 1
battling 1
bay 1
be 4
bedroom 1
been 3
before 1
begins 1
betrayed 1
birmingham 1
birminghambased 1
bitter 1
board 1
boldly 1
bore 1
boss 1
both 2
break 1
brigden 1
broxley 4
bursts 1
business 2
but 6
by 5
called 5
calling 1
can 1
car 1
causes 2
central 1
chairman 1
character 1
charged 2
charles 1
cheerful 1
cheshire 1
children 1
claiming 1
club 1
clubs 1
company 1
concern 1
concerns 1
confession 1
constantinople 1
contempt 1
control 2
coroner 1
coss 1
cottage 2
country 1
court 1
cranks 2
crash 2
cryptic 1
cynical 1
daughter 1
day 2
dead 1
dealings 1
death 1
deaths 1
decision 1
decompensation 1
demands 1
denounces 1
descends 1
destiny 1
destroyed 1
detail 1
difficulty 2
dinner 5
director 1
discuss 1
dishonest 1
dissatisfaction 1
down 1
driven 1
drives 1
driving 1
drug 2
during 1
early 1
eighteen 1
elderly 1
electric 1
elite 1
encounter 1
ends 1
enter 1
entire 1
ernest 1
euphoria 1
even 1
evening 2
every 1
exhausted 1
experience 1
factory 1
fainting 1
farce 1
fashionable 1
few 1
fighter 1
finally 1
finance 1
find 2
finding 1
finds 6
first 1
flee 1
flirts 1
for 6
forces 2
foreman 1
frankness 1
frequent 1
friend 1
friends 1
from 3
full 1
furious 1
future 1
gains 1
garson 1
girlfriend 1
gives 1
goes 2
going 1
goulash 1
grandchildren 1
greedy 1
guests 2
happening 1
happiest 1
harmless 2
has 4
have 3
having 1
he 27
help 1
her 6
hidden 1
high 1
him 13
himself 2
his 26
hold 1
holiday 1
home 2
horse 1
hospital 1
host 1
house 4
housekeepers 1
humanity 1
humiliates 1
hurdlow 1
hurries 1
idolises 1
in 21
industrialist 1
information 1
informs 1
initially 1
inn 1
inquest 3
inspect 1
inspector 1
instead 1
into 3
intrigued 1
introduced 1
inventor 1
irrational 1
is 15
it 3
jet 2
karney 4
kitchen 1
knew 1
know 1
late 1
later 2
leave 1
leaving 1
left 2
letter 2
life 3
listen 1
london 1
long 1
lord 7
loudly 1
magicians 4
main 1
makes 1
making 1
male 1
man 1
manager 1
manages 1
managing 1
manner 1
manor 4
marot 2
marry 1
maureen 1
mavis 2
meaning 1
meet 2
meeting 5
men 2
mervil 7
midfifties 1
mild 1
miles 1
missing 1
more 1
morning 2
mr 1
mrs 1
named 4
nancy 2
necessity 1
new 5
newspaper 1
next 3
night 1
noone 1
not 2
note 1
now 1
of 16
offer 1
on 9
once 2
one 2
only 2
order 1
ordered 1
other 1
out 5
outburst 1
over 2
panic 1
particularly 1
party 1
past 2
pelrock 1
perkins 1
perperek 8
perplexes 1
persuading 1
philippa 4
point 1
police 3
policemen 1
politics 1
poor 1
position 1
prepares 1
present 1
presided 1
prisk 5
produces 1
production 1
prompting 1
prompts 1
proposition 2
purchester 1
pursues 1
quarry 1
ravenstreet 17
realises 1
really 1
rebuffs 1
received 1
recent 1
reliving 1
reluctant 1
request 1
resolutely 1
restaurants 1
return 1
returns 2
reveal 1
revelation 1
rolls 1
room 2
rounds 1
run 1
sample 1
saw 1
say 1
sceptical 1
seen 1
sees 1
self 1
selfimportant 1
sells 1
sepman 6
sepmans 2
september 1
serially 1
sexual 1
she 2
show 1
sir 1
situation 1
slade 1
smuggling 1
so 2
sobbing 1
society 1
somehow 1
somewhat 1
somewhere 1
son 1
sons 1
soon 1
speaking 1
speed 1
spent 1
spirals 1
starts 2
station 3
stay 1
still 1
stock 1
straight 1
strangers 1
strike 1
succeed 1
sufficiently 1
suggestion 2
suggests 1
summer 1
superhuman 1
surprises 1
survivors 1
suspicious 1
t 1
taken 1
talk 1
talking 1
talks 1
technical 1
telephones 2
that 18
the 54
their 3
them 1
themselves 1
they 10
three 5
to 34
tom 1
too 1
torment 1
tow 1
tries 1
triffett 1
trio 1
turned 1
turningpoint 1
turns 2
two 1
tycoon 2
ultrarespectable 1
unexpectedly 1
unfaithful 1
unfaithfulness 1
unusual 1
up 1
views 1
vision 1
voted 1
waiting 1
wakes 1
wanting 1
was 1
waves 1
wayland 5
week 1
westfret 1
what 1
when 9
where 1
which 4
while 2
white 1
who 4
widow 1
wife 2
will 1
with 16
witness 1
work 1
would 2
youngish 1
