4325289
/m/0bx7d8
/m/0bx7d8
Elizabeth Hand

a 2
after 1
again 1
also 1
an 1
and 1
army 1
as 2
assassinate 1
at 1
be 1
boba 3
bounty 3
but 1
by 1
capture 2
clone 1
collect 1
continues 1
dangerous 1
dangers 1
despite 1
does 1
ever 1
face 1
fett 2
for 1
fortress 2
general 1
grievous 1
grow 1
guards 1
happens 1
has 1
he 3
himself 1
hired 1
his 3
holed 1
hunter 1
hunters 1
hutt 1
immediately 1
in 2
is 2
jabba 4
jedi 1
key 1
kill 1
know 1
latest 1
leadership 1
little 1
many 1
members 1
mission 1
most 1
must 1
new 1
of 3
on 2
or 1
out 1
planet 1
representative 1
republic 1
request 1
returns 1
secretly 1
sends 1
sent 1
separatist 2
service 1
siege 1
still 1
tambor 2
techno 1
that 1
the 9
their 1
this 1
threat 1
to 5
trooper 1
under 1
union 1
unknown 1
up 1
wants 1
wat 2
with 1
xagobah 1
young 1
