6997761
/m/0g_j_v
/m/0g_j_v
William Sleator
2001-06-04
a 4
about 1
adventure 1
and 4
another 1
are 1
as 1
at 1
basement 1
begins 1
boy 1
buses 1
but 1
can 1
convinced 1
cost 1
creatures 1
day 1
dimension 2
earth 1
far 1
find 1
finds 2
from 2
god 1
he 1
his 2
home 1
in 1
insectlike 1
into 1
investigate 1
is 2
it 1
lights 1
likes 1
marco 3
marcolilly 1
naked 1
named 1
often 1
one 1
only 1
out 1
portal 1
result 1
rides 1
save 2
secretly 1
sees 1
she 1
singularity 1
sister 2
strange 2
telepathic 1
that 1
the 2
their 2
there 1
they 1
though 1
thus 1
to 1
travel 1
what 1
which 1
who 2
