1695156
/m/05p0ys
/m/05p0ys
René Goscinny
1962
a 15
about 1
after 1
all 2
amusement 1
an 2
and 11
annual 1
another 1
are 5
armies 1
arrested 2
as 1
ask 1
asterix 1
at 2
attacked 1
attend 1
away 1
bandit 1
bandits 1
bay 1
be 2
been 2
before 1
below 1
beneath 1
big 1
bored 1
boulogne 1
breaks 1
bureaucracy 1
business 1
but 6
buy 1
by 2
called 1
can 1
cannot 1
centurion 1
city 2
claiming 1
close 1
clovogarlix 2
conference 1
continue 1
cousin 1
cut 1
dairyprodus 1
defeat 2
description 1
did 1
directions 1
disaster 1
dolmen 2
druid 2
druids 1
easily 1
encounter 1
enter 1
exploring 1
finally 1
find 3
finds 1
flow 1
for 7
forest 2
free 1
friend 2
from 6
gang 2
gaulish 1
gauls 1
get 3
getafix 1
gets 1
gives 2
go 2
golden 2
gone 2
has 2
have 2
he 2
heroes 1
high 1
him 1
himself 1
his 2
hoard 1
home 1
however 1
in 5
includes 1
inn 2
into 1
introduces 1
is 3
it 1
just 1
keeps 1
kidnapped 1
lair 1
leader 1
long 1
lutetia 2
magic 2
making 1
man 5
may 1
meet 1
mere 1
metallurgix 9
missing 1
mistletoe 1
mysteriously 1
navishtrix 3
new 2
obelix 2
of 5
on 1
one 2
opposite 1
or 1
our 1
out 2
paris 1
place 2
portal 1
potion 1
potions 1
prefect 1
presentday 1
price 1
refuse 1
released 1
rescue 1
retired 1
returned 1
revealed 2
roman 2
run 1
save 1
saying 1
says 1
sell 1
set 1
shadowy 1
short 1
sickle 4
sickles 3
sicklesmith 1
sickletrafficking 2
skilled 1
sponsors 1
stay 1
strikes 1
supply 1
surplus 4
takes 1
that 4
the 24
them 7
they 15
this 1
though 1
to 10
tries 1
two 1
uncover 1
underworld 1
up 2
vast 1
village 1
way 1
when 3
where 1
which 2
while 1
who 1
whose 1
will 1
with 3
without 1
wolves 1
wreck 1
