6027958
/m/0fl9jk
/m/0fl9jk
Jasper Fforde
2007
{"/m/0mz2": "Alternate history", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
2011 1
a 7
advisors 1
agency 1
also 1
among 3
and 3
apprentices 1
approach 1
archer 1
attempts 1
bad 1
be 2
because 1
bestselling 1
book 1
british 2
but 1
cabinet 1
capitalise 1
cheese 1
chronoguard 1
comes 1
complicate 1
constitution 1
continued 1
convince 1
corporations 1
deal 1
decided 1
describe 1
discovered 1
enforcement 1
english 1
equals 1
equel 1
equelness 1
existence 1
fact 1
felt 1
fforde 1
first 4
fourpart 1
friday 1
from 3
future 1
had 1
has 1
have 2
her 1
holder 1
however 1
in 5
inter 1
investigator 1
is 7
it 4
jeffrey 1
join 1
latin 1
marketing 1
matters 1
met 1
might 1
minister 2
missing 1
most 1
move 1
new 1
next 3
no 1
novel 1
of 10
office 1
official 1
on 1
one 1
operation 1
order 1
our 1
pares 1
parody 1
part 1
phrase 1
position 2
powerful 1
prime 2
primus 1
publishers 1
queen 1
renegade 1
reported 1
resistance 1
ruthless 1
save 1
sequels 2
series 2
shell 1
simply 1
since 1
son 1
sort 1
specops 1
stiff 1
sting 1
telegraphing 1
that 2
the 20
this 1
thursday 3
thursdays 1
title 4
to 9
traditionally 1
translation 1
undercover 1
used 1
was 4
which 2
with 3
yet 1
you 1
