23971233
/m/076xtl9
/m/076xtl9
Danielle Steel
2005-06
{"/m/05hgj": "Novel"}
180foot 1
a 3
adams 1
aftermath 1
all 1
allow 1
amongst 2
and 5
around 1
barriers 1
begins 1
beside 1
brightening 1
builds 1
built 1
but 1
california 1
carefully 1
carpenter 1
chance 1
chaos 1
collide 1
damage 1
dartman 1
death 1
different 1
do 1
escape 1
eve 1
fall 1
feel 1
finds 1
following 1
for 1
francisco 1
friends 1
friendship 1
happen 1
he 1
him 1
his 4
hits 1
homes 1
hope 1
in 3
jack 1
kinds 1
life 1
maggie 1
miracles 1
more 1
new 2
northern 1
of 1
on 2
once 1
outlook 1
pain 1
people 1
plans 1
quinn 3
really 1
repairs 1
sail 1
san 1
secrets 1
so 1
storm 1
that 1
the 7
their 1
thompson 1
three 1
to 4
unburden 1
ways 1
which 1
who 1
wifes 1
wild 1
will 1
with 1
world 1
worlds 1
wreckage 1
yacht 1
years 1
