3271344
/m/092j65
/m/092j65


{"/m/06n90": "Science Fiction"}
a 6
academia 1
agent 1
all 1
american 1
americans 1
an 1
and 8
at 1
authorities 1
between 1
both 1
but 1
can 1
capture 1
cia 1
cold 1
control 1
daring 1
develops 1
elude 1
federal 1
find 1
flee 1
foley 2
for 2
forced 1
frhypnose 1
gadget 1
genius 1
has 1
he 4
him 2
his 4
ii 1
in 4
indetectably 1
invented 1
is 3
kgb 1
kidnapped 1
knows 1
leningrad 1
loves 1
make 1
manhunt 1
massive 1
masterstroke 1
meeting 1
minds 1
much 1
must 1
nicholas 1
of 5
others 1
our 1
out 1
over 1
peace 1
premier 1
president 1
quietly 1
roman 1
save 1
scientist 1
secrets 1
siege 1
sleeper 1
soviet 2
soviets 1
states 1
summit 1
survivor 1
technological 1
the 11
time 2
to 3
too 1
turn 1
ultrasonic 1
united 1
waning 1
war 2
what 1
when 1
which 1
wife 3
with 1
working 1
world 1
years 1
