20093314
/m/04y930h
/m/04y930h
Thomas Bernhard
1967
{"/m/05hgj": "Novel"}
a 7
american 1
an 3
and 3
array 1
art 1
at 1
austere 1
austrian 1
been 1
bernhard 1
brutality 1
but 2
by 1
cage 1
cascade 1
castle 1
chose 1
classic 1
completing 1
confusion 1
coping 1
countryside 1
crippled 1
daily 1
decay 1
depicts 1
disturbance 1
doctor 1
eccentric 1
encounter 1
end 1
exaggeration 1
explore 1
fact 1
flowing 1
formation 1
freaks 1
from 1
furious 1
gargoyles 1
german 1
grim 1
grotesques 1
has 1
he 1
his 6
hochgobernitz 1
homeland 1
human 1
humanity 1
hundredpage 1
idealistic 1
illness 1
in 5
innkeeper 1
insomniac 1
is 3
it 1
its 1
kept 1
landscape 1
like 1
logorrhea 1
madness 1
man 1
meet 1
mental 1
mesmeric 1
metaphors 1
mind 1
misery 1
monologue 1
morning 1
mountainous 1
murdered 1
musical 1
nature 1
novel 2
observe 1
obsessive 1
of 11
one 1
or 1
order 1
over 1
paragraph 1
paranoid 1
perhaps 1
physical 2
prince 1
prodigy 1
publisher 1
rant 1
rationalityon 1
relentlessly 1
render 1
rest 1
rounds 1
rural 1
saurau 1
science 1
singular 1
solitary 1
something 1
sonan 1
stationary 1
student 1
study 1
stylistic 1
surreal 1
takes 2
that 1
the 15
they 3
this 1
through 1
title 1
to 4
translates 1
uninterrupted 1
uses 1
very 1
when 1
where 1
whose 1
wife 1
with 1
words 1
