614306
/m/02wqxb
/m/02wqxb
Kurt Vonnegut
1976
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/05hgj": "Novel"}
1 1
20 1
a 14
able 1
accidentally 1
after 1
age 1
all 1
along 1
america 1
american 1
among 2
an 1
and 21
are 4
armed 1
as 7
autobiography 1
be 3
because 1
become 1
believe 1
between 1
beyond 1
book 1
brain 3
building 1
but 3
by 2
came 1
cant 1
cause 1
childhood 2
children 3
chinese 1
citizens 1
civilization 2
claims 1
close 1
cohen 1
collapse 1
collapses 1
combated 1
communicate 2
company 1
constantly 1
contact 1
continues 1
cousins 2
created 2
creative 2
cut 1
daffodil11 1
deemed 1
describes 1
destroying 1
developed 1
devotes 1
doctorate 1
dr 5
earns 1
effectively 1
election 1
eliza 7
emotional 1
empire 1
end 1
ending 1
energies 1
ensuring 1
even 1
eventually 2
everyone 2
extended 1
families 1
federal 1
feelings 1
fellow 1
form 2
forward 1
from 1
goes 1
government 1
granddaughter 1
groups 1
halves 1
harvard 1
has 2
have 1
he 1
hearing 1
help 1
her 1
hi 1
hiccup 1
hideous 1
his 4
ho 1
however 2
hundreds 1
implementation 1
in 7
inhale 1
institution 1
intelligence 2
intelligent 1
interfere 1
is 7
isadore 1
isolation 1
it 2
know 1
leaps 1
led 1
left 1
life 1
like 1
live 1
lives 3
logical 1
loneliness 2
lonesome 2
lover 1
made 1
making 1
man 1
mansion 1
may 1
meantime 1
melody 1
mental 1
middle 2
miniaturization 1
miniaturizing 1
modern 1
more 3
mother 1
name 4
names 1
natural 1
nearing 1
new 1
no 3
normal 1
not 1
novel 2
number 2
object 1
of 17
off 1
often 1
oil 1
old 1
one 2
or 1
oriole2 1
other 1
others 1
otherwise 1
out 1
paired 1
parents 3
pattern 1
people 1
perfect 1
peterswald 1
philosophizing 1
physical 1
plague 1
plan 4
play 1
point 1
policy 1
population 1
powerful 1
pregnant 1
prep 1
presidency 1
proceeds 1
provided 1
punchline 1
random 2
raspberry1 1
rational 1
read 1
reading 1
realize 1
realizes 1
repair 1
retarded 2
reveal 1
right 1
risk 1
ruined 1
ruins 1
runs 1
same 2
school 1
selflessly 1
sent 2
separated 1
she 1
short 1
siblings 4
sister 2
slogan 1
small 1
snippets 1
so 2
society 1
sort 1
sorts 1
staff 1
state 1
still 1
survivors 1
swain 6
tells 1
that 11
the 37
their 10
them 2
themselves 1
these 1
they 5
things 1
think 1
this 1
those 1
through 2
throughout 1
time 1
to 16
together 1
training 1
twin 1
two 2
typical 1
ugliness 1
ultimately 1
unable 1
under 1
unite 1
university 1
up 1
us 1
vast 2
vastly 1
verbal 1
view 1
von 1
vonnegut 1
waning 1
we 1
were 1
western 2
what 1
when 2
which 1
who 1
whose 1
wilbur 6
wins 1
wish 1
with 11
words 1
would 4
write 1
