9153191
/m/027zkt2
/m/027zkt2
Arthur Yorinks

a 4
able 1
acquired 1
al 8
all 1
and 8
appeared 1
arrived 1
as 1
be 2
began 2
bird 1
birds 1
but 1
by 1
carry 1
crashed 1
day 1
decided 1
did 1
dog 1
eddie 8
escape 1
flight 1
fly 1
fortunately 1
found 1
go 1
had 1
happen 1
happy 1
hard 1
hey 1
his 1
home 4
however 1
in 1
into 1
is 1
island 1
it 2
janitor 1
lives 1
lost 1
magnificent 1
named 1
newly 1
not 2
of 1
offered 1
one 1
paradise 2
plan 1
realised 1
resemble 1
return 2
sea 1
sky 1
so 1
story 1
strange 1
swim 1
the 4
their 2
them 1
they 3
things 1
to 13
using 1
was 3
were 1
when 1
wings 1
wished 1
