9964435
/m/02py8hc
/m/02py8hc
Rex Stout

a 13
about 3
accompanied 1
acquaintance 1
actress 1
ada 2
afternoon 1
agree 1
agrees 1
alice 1
alone 2
also 1
an 6
and 20
another 2
answer 1
answering 4
answers 1
apartment 2
arcane 1
archie 16
are 6
arranges 1
arrest 1
arrive 1
as 6
ashe 12
asked 1
asking 1
at 5
avoid 1
back 2
bagby 8
be 1
because 1
bedroom 1
bedrooms 1
been 2
behavior 1
bella 1
big 1
boorish 1
both 1
broker 1
brownstone 1
business 1
but 5
by 2
call 1
calls 1
came 1
cant 1
car 1
care 1
character 1
circumspect 1
city 1
clyde 1
complain 1
complied 1
concluded 1
contends 2
contrives 1
conversations 1
convinces 1
cooperate 1
cord 1
corroboration 1
cottage 2
court 2
courtroom 2
coworkers 1
describes 1
determined 1
did 2
dissuade 1
does 2
doesnt 2
doing 1
down 1
drop 1
due 1
each 1
employee 1
employees 2
employment 1
enough 1
errand 1
evening 2
except 1
eyes 1
face 1
find 1
first 1
follow 1
following 1
for 7
forms 1
found 1
frightened 1
fritz 1
from 1
front 1
get 1
gets 1
go 1
gogh 1
going 1
guy 1
had 5
hart 2
has 8
have 1
he 10
head 2
hear 1
helen 1
her 7
him 5
himself 1
hire 1
hired 1
his 7
hitting 1
how 1
husband 1
in 14
inc 1
incivility 1
inferred 1
information 3
interrogations 1
into 1
invade 1
investigation 1
is 9
issued 1
it 2
jaguar 1
judge 1
keane 1
kill 1
learn 1
learns 1
leased 1
leaves 1
leonard 1
listen 1
little 2
look 1
mandelbaum 3
marie 2
mean 1
meet 1
meeting 2
miss 8
more 1
morning 1
mouth 1
much 2
murder 1
new 1
next 2
night 1
not 5
note 1
now 2
objects 1
obnoxious 1
of 15
office 2
offices 1
on 5
one 4
operators 2
original 1
out 1
own 1
owner 1
painting 1
parked 1
particular 1
pay 1
people 1
perfume 1
phone 3
phoned 1
phones 1
point 1
police 1
possible 1
presence 1
presses 1
prosecution 1
question 1
questioning 2
racing 1
refused 2
regulations 1
relay 1
returning 1
robina 1
rooms 1
round 1
saul 1
scared 1
scheduled 1
see 3
service 5
set 1
several 1
she 3
sitting 1
so 2
some 1
something 1
sort 1
spend 1
spy 1
stack 1
stand 2
state 2
stop 1
strangled 2
stroll 1
submit 1
subpoena 2
subpoenas 1
summer 1
switchboard 1
table 1
takes 1
talk 1
telephone 1
tell 4
tells 1
testifies 1
testify 3
testimony 2
that 20
the 32
their 3
them 2
they 7
this 1
though 1
threatened 1
to 39
too 2
tow 1
transacts 1
trap 1
trial 1
tried 3
turned 1
two 1
under 3
underworld 1
unger 6
unsuccessfully 1
until 1
up 1
vague 1
van 1
velardi 2
wall 1
want 2
wants 4
warrant 1
was 3
wearing 1
weltz 3
westchester 1
what 3
when 4
where 2
who 1
wife 6
will 2
willis 6
with 9
witness 1
witnesses 1
wolfe 22
woman 1
women 2
work 1
yield 1
