3248537
/m/0914np
/m/0914np
Garth Nix
2005-02
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature", "/m/0dwly": "Children's literature"}
3 1
a 22
able 2
aboard 1
admitted 1
after 3
all 1
among 1
an 1
and 15
anthropomorphic 1
apparently 1
appears 1
applies 1
appoints 1
approach 1
are 7
arth 1
arthur 28
as 11
assumed 1
at 1
attempt 1
attempted 1
attitude 1
away 1
battle 1
be 3
beach 1
because 1
become 1
becomes 1
bed 1
been 3
begins 2
being 1
believe 1
bloody 1
blue 1
board 1
book 1
border 4
bring 1
brings 1
brought 1
buoy 1
but 3
by 11
called 3
can 1
captain 1
carp 2
carrying 1
catapillow 3
claims 1
cockney 1
collapse 1
colour 1
commands 1
communicates 1
consumes 1
containing 1
contrast 1
convinced 1
customary 1
damage 2
dame 2
dawn 2
days 2
deal 1
death 1
demeanor 1
dies 1
difficulty 1
discussing 1
disguised 1
dodges 1
does 1
done 1
dr 5
dress 1
drowned 3
duke 1
during 2
dusk 1
each 1
elishar 1
elsewhere 1
enter 2
escape 2
escaped 1
eventually 2
exception 1
exiles 1
fails 2
feverfew 8
few 1
find 1
first 4
floats 1
flooded 1
flots 1
flying 2
followers 1
for 2
forced 1
form 1
former 1
found 1
friend 1
friends 1
frmercredi 1
from 4
fulfilled 1
gave 1
get 1
ghostly 1
gift 1
given 1
gluttony 2
going 2
golden 1
green 1
grounded 1
group 1
had 2
halted 1
hand 2
happened 1
has 5
he 6
head 1
help 2
her 4
hideout 1
him 8
his 14
hope 1
hospital 2
house 3
human 1
identify 1
identity 1
immortal 1
in 5
inflicted 1
inside 1
intact 1
interfered 1
into 3
introduced 1
invitation 1
is 16
issued 1
it 5
joins 1
journey 1
key 1
kicks 1
kill 1
known 1
lady 2
ladylike 1
large 1
last 1
later 7
leaf 7
learn 1
learns 1
leg 1
les 1
leviathanwhale 1
line 1
located 1
long 1
longer 1
lunch 1
luncheon 1
magic 1
make 1
makes 2
mantis 3
mariner 2
marked 1
marking 1
marks 1
mate 1
means 1
medallion 2
meet 2
meets 1
miniature 1
mirror 1
more 1
morrow 1
moth 3
mud 1
must 1
name 1
navigational 1
no 1
noon 1
not 1
nothing 2
now 2
of 20
on 8
one 1
only 2
onto 1
open 1
opened 1
opens 2
orders 1
other 1
otherwise 1
overboard 1
part 2
piper 1
pirate 1
place 1
poisoned 1
portal 2
possible 1
primus 2
prisoner 1
professed 1
propaganda 1
proper 1
proposes 1
proves 1
puddle 1
pursued 1
raised 2
rat 1
rats 5
realms 1
recovers 1
red 2
released 1
reluctant 1
remains 1
removes 1
rescues 2
resort 1
result 1
resume 1
reveal 1
revealed 1
rid 1
room 1
sails 1
saves 1
saying 1
scamandros 8
scavenging 1
scry 1
scrying 1
sea 4
search 1
secondary 1
sent 1
serious 1
seventeen 1
severs 1
she 5
ship 6
shiver 1
shows 1
shrinks 1
side 1
skeptical 1
slaves 1
snatched 1
so 1
something 1
soon 1
sorcerer 1
sorcery 1
sous 1
speech 1
steward 1
stomach 2
stops 1
storms 1
strike 1
submarine 1
suddenly 1
suffers 1
summon 1
sunscorch 4
supper 1
surrender 1
suzy 3
take 2
taken 1
takes 1
tells 2
th 1
that 8
the 54
their 4
them 6
then 5
there 1
therefore 1
therein 1
these 1
they 9
third 2
this 2
through 2
throw 1
to 34
toward 1
tower 1
transfer 3
transported 1
treasure 3
triangle 1
trustee 1
try 2
tuesday 1
turquiose 1
two 1
under 1
upon 1
upper 1
uses 1
via 1
visiting 1
void 1
watch 2
watches 1
water 1
ways 1
wednesday 10
what 1
when 5
where 2
which 6
while 1
who 4
whoever 1
will 5
wished 1
wishes 1
with 12
within 1
without 1
work 1
world 1
worldlet 3
