24239951
/m/07kfsg_
/m/07kfsg_
Joan Aiken

{"/m/0mz2": "Alternate history", "/m/0dwly": "Children's literature"}
a 2
adventures 1
after 1
all 1
an 2
ancient 2
and 3
animation 1
are 1
arthur 3
assist 1
at 2
attained 1
back 1
bath 1
become 1
been 1
befriends 1
between 1
bound 1
britain 1
but 1
by 3
cannibalistic 1
capital 1
centuries 1
changes 1
city 1
claims 1
coast 1
consuming 1
course 1
crew 1
cumbria 3
dido 1
en 1
england 1
for 2
ginevra 3
given 1
guinevere 1
had 1
has 4
help 1
her 3
his 1
hms 1
holystone 2
immortal 1
immortality 1
in 3
incarnation 1
is 4
island 1
it 2
king 1
lain 1
lake 2
landing 1
learn 1
local 1
lyonesse 1
maidens 1
missing 1
monstrosity 1
murdering 1
myth 1
nantucket 1
neighbour 1
new 3
nightbirds 1
not 1
of 4
on 4
openminded 1
or 1
orders 1
pleased 1
queen 1
recover 1
return 1
route 1
same 1
seems 1
she 4
ship 2
spouse 1
steward 1
stolen 1
suspended 1
that 3
the 11
them 1
then 1
they 1
this 1
thousand 1
thrush 1
to 4
transpires 1
travelling 2
treaties 1
twite 1
unfortunately 1
vampirism 1
waited 1
wants 1
which 1
who 1
years 1
