11569507
/m/02rjhqr
/m/02rjhqr
Peter Robinson
1994
{"/m/0lsxr": "Crime Fiction", "/m/02n4kr": "Mystery"}
a 4
accountant 1
after 1
against 2
alan 1
alison 1
and 4
another 1
answers 1
area 1
as 3
ask 1
banks 2
bankss 1
be 1
blow 1
burgess 1
but 1
career 1
case 1
chief 1
cursory 1
dales 1
decisions 1
detective 1
dick 1
difficult 1
dirty 1
discover 1
does 1
dogging 1
ds 1
dull 1
even 1
evening 1
farmhouse 1
finds 1
footsteps 1
from 1
garage 1
generally 1
gunmen 1
has 1
he 3
head 1
her 1
him 1
himself 1
his 6
in 1
inspector 1
investigation 1
is 1
isolated 1
job 1
justice 1
keith 1
killers 1
known 1
leads 1
life 1
local 1
masked 1
may 1
mildmannered 1
more 1
most 1
mother 1
of 5
off 1
old 1
one 2
only 1
partner 1
person 1
pits 1
question 1
questions 1
racing 1
raises 1
richard 1
rothwell 3
rothwells 1
seem 1
sense 1
shotgun 1
sifts 1
sort 1
sparring 1
take 1
takes 1
than 1
the 9
this 1
through 1
tie 1
time 1
to 4
truth 2
turns 1
twist 1
two 1
unexpected 1
up 2
was 1
when 1
why 1
with 1
yard 1
yet 1
yorkshire 1
