5994383
/m/0fjnyr
/m/0fjnyr
Beverly Cleary
1984
a 3
about 1
after 2
almost 1
alone 1
along 1
and 10
another 1
any 2
arabia 1
are 3
area 1
around 1
arrived 1
arrives 2
at 1
aunt 1
baby 3
basement 1
be 3
bea 1
because 2
become 1
beezus 3
before 1
being 1
burial 1
but 1
by 2
care 3
cat 1
chance 1
changes 2
child 1
college 1
coming 1
convince 1
day 1
dead 1
decide 1
dont 1
else 2
engaged 1
enough 1
especially 2
everyone 3
expecting 1
feels 1
find 2
finished 1
for 2
from 1
funeral 1
funny 1
get 2
gets 1
girls 1
go 1
goes 1
growing 2
handle 1
happy 1
has 2
have 3
he 1
hell 1
him 1
hobart 2
home 2
honor 1
hopes 1
how 2
howie 2
important 1
in 3
involved 1
is 4
it 5
job 1
kemp 1
kids 1
kind 1
let 1
like 1
littlest 1
maids 1
man 1
manage 1
middle 1
more 3
mr 1
mrs 1
neighborhood 1
not 2
of 5
on 1
one 1
only 1
out 1
parents 2
pickypicky 1
plan 1
plans 1
quimby 3
quimbys 1
ramona 5
realizes 2
responsible 1
rich 1
roberta 1
saudi 1
school 2
see 1
she 7
sisters 1
something 1
stay 1
staying 1
sure 1
take 3
teaching 1
tease 1
that 1
the 15
their 3
them 1
themselves 2
there 1
they 2
thinks 2
though 1
time 2
to 14
together 1
two 1
uncle 2
up 2
was 1
wedding 2
week 1
weeks 1
when 1
who 1
will 1
winning 1
with 2
wonderful 1
wont 1
