11084602
/m/02q_hgp
/m/02q_hgp
Herman Wouk
1994-11
{"/m/02p0szs": "Historical fiction", "/m/02xlf": "Fiction"}
and 4
anwar 2
ariel 1
attrition 1
barakberkoweberkowitz 1
book 1
by 2
characters 1
chronicled 1
climactic 1
continues 1
david 1
dayan 1
egyptian 1
eilat 1
elazar 1
entebbe 1
events 2
families 1
fates 1
fictional 1
fired 1
glory 1
golda 1
historical 2
history 2
hope 1
in 3
include 2
interweaving 1
is 1
israel 1
israeli 2
kippur 2
lives 1
luria 1
meir 1
moshe 1
navy 1
netanyahu 1
nitzanbloomblumenthal 1
notables 1
novel 1
of 7
operation 1
pasternak 1
peace 1
personages 1
promise 1
real 1
reallife 1
rockets 1
sadat 2
sequel 1
sharon 1
ship 1
sinking 1
soviet 1
story 1
the 16
to 3
visit 1
war 3
whose 1
yom 2
yonatan 1
