16710808
/m/0403x8x
/m/0403x8x
René Goscinny
1972

100000 1
a 4
about 1
accused 1
and 2
as 1
at 1
been 1
belt 3
best 1
bounty 3
bronco 1
caretaker 1
caring 1
character 1
cheyenne 1
current 1
dizzying 1
down 1
elliot 2
ends 1
eventually 1
following 1
fortworth 1
general 1
get 2
hands 1
has 1
he 2
him 2
himself 1
his 4
horse 1
hunted 1
hunters 1
hunting 1
iii 1
in 1
innocent 1
into 1
introduced 1
introductional 1
is 4
law 1
lord 1
lucky 1
luke 1
nearly 1
not 2
notorious 1
now 1
of 8
old 1
on 3
or 1
price 1
pushed 1
ranch 1
rancher 1
representative 1
role 1
set 1
short 1
side 1
spoon 3
stallion 1
status 1
stealing 1
stop 1
takes 1
target 1
task 1
tea 3
the 13
titular 1
to 3
trade 1
treaty 1
tribe 1
tries 1
triggers 1
unscrupulous 1
up 2
war 1
washmouth 1
we 1
west 1
whether 1
while 1
who 1
with 1
wrong 1
