1937988
/m/067h9n
/m/067h9n
Lauren Weisberger
2003
{"/m/03h09f": "Chick lit", "/m/02xlf": "Fiction", "/m/016lj8": "Roman \u00e0 clef"}
a 16
accountsshe 1
afraid 1
after 1
afterwards 1
agrees 1
alcohol 1
alex 6
allconsuming 1
also 1
although 2
an 1
and 23
andrea 16
another 1
are 1
as 6
asking 1
asks 1
assignments 1
assistant 2
at 9
attracted 1
back 2
become 1
becoming 1
been 3
begins 1
behalf 1
beyond 1
blacklisted 1
blankets 1
boyfriend 1
break 1
bright 1
brown 1
building 1
but 1
buys 1
by 1
call 1
calls 2
can 1
canceling 1
capricious 1
car 1
celebrity 2
chapter 1
charge 1
charismatic 1
christian 3
city 2
clothes 1
clothing 1
collinsworth 1
columbia 1
comatose 1
come 2
commitment 1
community 1
company 1
complicating 1
comply 1
constant 1
court 1
coworker 1
degree 1
demand 1
demanding 1
designer 2
despite 1
detriment 1
did 1
die 1
dior 1
discuss 1
does 1
door 1
doubt 1
down 1
dream 1
driving 1
drunk 1
dubious 1
dui 1
each 1
editorinchief 1
eliasclark 2
emily 1
encounter 1
end 1
english 1
expense 1
exposed 1
fact 1
family 4
fares 1
fashion 3
fiction 1
finally 3
financing 1
finds 1
fired 1
foot 1
for 10
forced 1
friend 1
friends 3
from 3
frustrated 1
fuck 2
further 1
future 1
generation 1
generous 1
gets 3
girl 1
girls 1
good 1
graduate 4
group 1
grows 1
grueling 1
guard 1
had 1
harried 1
has 4
have 1
head 1
her 37
hired 1
his 1
home 2
honor 1
hoping 2
horror 1
hot 1
hotel 1
hours 1
however 1
identified 1
if 1
important 1
impossible 1
in 9
incident 1
increasingly 1
industry 2
innercity 1
interview 1
into 1
is 16
job 5
jobfree 1
jobs 1
junior 2
knows 2
last 1
later 1
latest 1
lavish 1
learned 1
learns 2
lets 1
life 1
like 2
lily 4
little 1
long 1
longawaited 1
longtime 1
looks 1
made 2
magazine 5
magazines 1
manages 1
matters 1
mean 1
meets 1
men 1
million 1
minor 1
miranda 14
mononucleosis 1
more 3
moves 3
must 1
nature 1
new 4
night 1
novel 1
of 14
on 4
once 2
one 2
only 1
other 2
out 1
outrageous 1
own 1
page 1
parents 2
paris 3
party 1
people 1
perks 1
personal 1
phone 1
phones 1
pick 1
picking 1
place 1
pleased 1
position 1
pressured 1
pressures 1
priestly 1
profits 1
promises 1
provided 1
publicly 1
publishing 3
putupon 1
realizes 3
receiving 1
recent 1
reconnect 1
recovers 1
refuses 1
relationship 3
relationships 1
relieve 1
remain 1
repair 1
repeatedly 1
replies 1
request 1
reselling 1
return 1
returning 1
returns 1
romantic 1
rsum 1
runway 3
sachs 1
sacrifice 1
school 1
schoolteacher 1
scolds 1
sees 1
service 1
seventeen 1
shallow 1
she 26
short 1
show 1
six 1
small 1
so 1
some 1
soon 1
spot 1
stead 1
stories 1
stress 1
struggling 1
student 1
suffers 1
suggests 1
surprise 2
take 1
tells 2
than 1
that 11
the 28
their 1
them 1
they 2
this 1
though 1
tiff 1
to 24
told 2
travel 1
trip 2
true 1
turns 1
tyrannical 1
unemployment 1
up 2
upandcoming 1
urgent 1
value 1
well 1
what 1
when 3
where 1
who 3
will 2
with 19
within 1
work 2
working 1
works 1
world 3
would 2
wrecking 1
writer 1
writing 1
yale 1
year 2
yet 2
york 1
yorker 2
you 2
