3603887
/m/09pbmg
/m/09pbmg
Melinda Metz
2004-03
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/03npn": "Horror"}
a 3
accord 1
after 1
again 2
an 3
and 1
angel 2
apocalypse 2
arrived 1
artificial 1
at 1
back 1
becomes 1
been 1
before 2
belial 1
brings 1
buffy 3
cannot 1
center 1
consuming 1
dangerous 1
dark 1
end 1
england 1
fear 2
fight 1
find 1
for 1
giles 1
had 1
has 2
her 5
however 1
in 3
insists 1
is 5
known 1
longestablished 1
magic 3
mankind 1
meanwhile 1
michael 1
most 1
must 1
named 1
natural 1
not 2
of 8
on 1
once 1
one 2
order 1
overcome 1
own 1
perform 1
performed 1
powers 1
return 1
seem 1
she 1
signs 1
siphon 1
spells 1
spending 1
stop 1
stopped 1
suddenly 1
sunnydale 2
terrified 1
that 1
the 8
this 2
thrown 1
time 1
to 6
trying 1
type 1
using 1
way 1
weirdness 1
what 1
when 1
which 1
willow 2
with 1
world 1
yet 1
