7889688
/m/026hs9s
/m/026hs9s
David Wellington

a 5
after 2
alberta 2
and 3
are 2
as 1
at 1
attacked 2
attempt 1
backers 1
bait 1
but 3
by 1
care 1
chey 5
cheyenne 1
clarke 1
come 1
creature 1
curse 1
dzo 1
enigmatic 1
enough 1
extensive 1
failed 1
for 1
frostbite 1
future 1
hands 1
has 1
her 4
hiking 1
him 1
immediately 1
in 3
indicated 1
into 1
introduces 1
is 8
it 2
kill 1
known 1
left 1
looking 1
lost 1
lure 1
lycanthropy 1
meeting 1
meets 1
monty 1
most 1
normal 1
not 1
novel 1
obviously 1
of 4
one 1
only 1
opens 1
other 1
outside 1
own 1
parachuting 1
parties 1
phenomena 2
place 1
possibly 1
powell 3
presumably 1
provisioned 1
questionable 1
rare 1
reader 1
real 1
remains 1
remote 1
removed 1
revealed 1
scratch 1
secretly 1
setting 1
she 1
similar 1
soon 1
supernatural 1
supplies 1
survives 1
takes 1
that 2
the 12
their 2
to 6
used 1
wandering 1
want 1
werewolf 3
werewolves 1
where 1
which 2
while 1
who 3
wilderness 2
wilds 1
with 5
wolf 1
working 1
world 1
