4845294
/m/0cqnx6
/m/0cqnx6
Alistair MacLean
1959
a 20
abandon 1
abandoned 1
accidental 1
across 2
act 1
action 1
added 1
after 4
airplane 1
all 1
almost 1
along 1
also 2
an 1
and 18
any 1
anything 1
arctic 3
are 3
at 2
attempt 2
back 1
based 1
be 6
been 4
behind 2
between 1
bitter 1
blizzard 1
boac 1
bogged 1
boxer 1
but 5
by 3
can 1
cap 1
captain 5
carried 2
catch 1
causing 1
chase 1
check 1
chemist 1
chief 1
cleared 1
coma 1
combat 1
come 1
contact 2
contacted 1
contacts 1
contains 1
corner 1
courier 2
crash 2
crashed 1
crashlands 1
crew 1
criminals 5
dead 2
decides 2
destroyed 1
determined 1
developed 1
development 1
device 1
divulge 1
dogs 1
down 1
dr 9
during 1
dying 1
engine 1
enough 1
entire 1
erratic 1
everyone 1
expedition 3
falls 1
far 1
fashion 1
father 1
feasible 1
field 2
finding 2
finds 2
flames 1
flight 1
flying 1
food 1
for 4
found 2
frightens 1
from 2
get 1
getting 1
go 1
goes 1
governments 2
greenland 1
group 5
guard 1
guidance 1
guide 1
guided 1
hand 2
happened 1
has 4
have 3
having 2
he 2
here 1
hillcrest 5
him 3
himself 1
hope 1
hostages 1
ice 1
important 1
in 10
induce 1
inform 2
information 1
intervention 1
into 1
is 10
it 3
its 1
jackstraw 2
joss 1
journey 1
keeps 1
killed 1
killing 1
landscape 1
layer 1
leader 1
leading 1
leaves 1
left 1
life 1
like 1
locate 1
look 1
lost 1
made 2
make 1
manage 1
manner 1
mason 10
massive 1
means 2
meanwhile 2
mechanism 2
melt 1
military 3
missile 1
mixed 1
mixture 1
mobilization 1
most 1
murderers 2
must 1
navy 1
near 2
nearest 1
new 1
night 1
no 1
nonresponding 1
not 2
of 14
off 2
on 6
one 6
only 1
orders 1
other 1
out 4
outside 1
over 1
parts 1
passenger 3
passengers 4
petrol 3
picked 2
pilot 1
pilots 1
plane 1
precipitates 1
process 1
protagonists 1
radio 3
range 1
realizes 1
recorder 1
refused 1
relent 1
remaining 1
repair 1
requested 1
rescue 1
rescued 1
rescues 1
research 2
resultant 1
return 1
returns 1
ride 1
rocket 1
route 1
same 1
save 1
scientific 2
scientist 1
scientists 1
secret 1
seemingly 2
set 3
sets 1
settlement 1
she 1
shore 1
short 1
shot 2
since 1
siphoned 1
site 2
sled 1
so 1
soft 1
solution 1
something 1
sondes 1
soon 5
station 7
stay 1
stewardess 2
stick 1
stumbles 1
such 1
suffocated 1
sugar 2
suggests 1
surrounded 1
surviving 1
suspicion 1
take 1
takes 1
tampered 1
tape 1
team 3
that 12
the 66
their 2
them 6
they 8
this 4
through 1
time 1
to 25
top 2
touch 1
trawler 2
trek 1
tried 1
up 4
use 1
usual 1
very 1
waits 1
was 1
water 1
when 1
where 1
while 1
who 2
whom 1
will 1
with 12
world 1
wreck 1
