2965994
/m/08gl1f
/m/08gl1f
August Wilson


a 3
album 1
and 11
anger 1
any 1
argue 1
arrive 1
as 3
badly 1
band 4
banter 1
bassist 1
be 1
becomes 2
behind 1
between 2
boiling 1
by 3
causes 1
chicagobased 1
clear 1
conflict 1
cutler 4
destroying 1
disarray 1
do 1
does 1
drag 2
dreams 1
dussie 1
ensues 1
entourage 1
finally 1
fired 1
for 4
from 1
full 1
future 1
girlfriend 1
had 1
has 1
having 1
havoc 1
he 1
her 3
him 1
himself 1
his 4
hotheaded 1
in 3
insistence 1
insubordination 1
into 1
intro 1
irate 1
irvin 2
is 3
it 1
joke 1
killing 1
levee 5
ma 8
mae 1
manager 1
more 3
much 1
nephew 2
new 1
of 3
offered 1
own 1
owner 1
philosophise 1
pianist 1
play 1
players 2
point 1
policeman 1
possibility 1
problems 1
producers 1
rainey 3
reaches 1
record 2
recording 2
regalia 1
rejected 1
resolved 1
schedule 1
should 1
simultaneously 1
slow 2
song 1
songs 2
stabs 1
stories 1
studio 2
sturdyvant 3
stuttering 1
sylvester 2
technical 1
tell 1
tension 1
that 2
the 11
then 1
they 2
throwing 1
thus 1
time 1
title 1
to 5
toledo 4
too 1
tow 1
trombonist 1
trumpeter 2
turn 2
unfolds 1
up 2
various 1
veteran 1
violence 1
voice 1
wait 1
waits 1
when 1
white 1
who 2
young 1
