3450274
/m/09d29_
/m/09d29_
Pierre Christin
1975

100 1
a 29
abruptly 1
act 1
activate 1
advantage 1
agents 1
ago 1
agree 1
alien 1
aliens 3
allies 1
allow 2
almost 1
alone 1
also 1
always 1
ambassador 16
an 4
and 39
annihilate 1
another 2
anxious 1
any 1
anything 1
anyway 1
apart 1
aphrodisiac 1
apparently 1
appear 1
approached 1
are 12
armed 1
armored 1
arrest 1
arrive 2
arrived 1
arrives 1
as 5
asking 1
asks 2
assembled 1
assist 1
assistant 1
astroship 1
at 4
attack 2
attracts 1
back 3
bagoulin 2
bagoulins 4
be 5
before 2
begins 1
being 1
beings 1
between 1
blank 1
blasts 1
blown 1
bluxte 1
bought 1
bring 1
built 1
burntout 1
burst 1
but 4
buy 1
by 7
call 1
calls 1
can 3
canal 1
capture 2
captured 1
carrying 1
cast 1
celebrating 1
central 11
chamber 1
chance 1
changed 1
charge 1
children 1
choice 1
clean 1
cocoon 3
cocoons 2
code 1
colonel 1
come 1
communicates 1
compared 1
complains 1
congregating 1
contact 1
control 1
converter 1
convinces 1
copies 1
corruption 1
council 5
creature 1
dead 1
decided 1
defecate 1
dejected 1
deliver 2
denizens 1
depart 1
deserted 1
destroyed 1
devastation 1
dignitaries 1
diol 7
discover 1
dismayed 1
do 1
dream 1
dying 1
each 1
earth 12
eats 1
ebaba 1
effort 1
emerges 1
end 2
enforce 1
enter 2
entering 2
enters 1
entrance 1
entrusts 1
envelop 1
even 1
events 1
everyone 1
evolved 1
except 1
exert 1
exists 1
expel 1
experience 1
explain 1
explodes 1
fact 1
fed 1
federation 2
female 1
few 1
finally 1
finding 1
finds 1
fire 1
first 1
fisherman 1
fleet 1
following 1
for 13
forced 1
forgotten 1
free 1
freeing 1
frees 1
from 12
full 1
funds 1
further 1
galactic 1
galaxy 1
gathering 3
get 1
give 2
gniarfsdreamers 1
gone 1
green 1
greeted 2
groubos 5
group 2
grumpy 5
gun 1
guns 2
hall 1
has 7
have 8
having 2
he 9
head 2
heading 2
heads 1
hedgehoglike 1
helmets 1
help 1
her 6
herself 1
him 2
himself 1
his 9
home 2
hook 1
horrified 1
house 2
human 1
humanoids 1
if 1
illrepute 1
image 1
images 2
importance 1
in 16
incomplete 1
inform 1
information 3
informed 1
informs 1
intends 2
interest 1
interrupted 1
into 5
introduce 1
is 23
island 3
it 3
its 1
jellyfishlike 1
just 1
kamunik 1
kamuniks 2
keep 1
keystone 1
know 2
lake 2
landing 1
lands 2
large 2
laureline 24
leaves 1
like 1
located 1
lock 1
looking 1
lost 1
machine 1
machines 1
made 1
main 2
maintenance 2
make 2
makes 1
males 1
man 1
managed 1
many 2
map 5
matters 1
meeting 2
melts 1
membership 1
mercenaries 1
message 1
middle 1
mind 3
minutes 1
money 1
moral 1
more 3
motors 1
moves 1
multiple 1
must 1
mute 1
name 2
nature 1
need 1
needed 1
new 2
no 2
not 3
now 5
occupy 1
ocean 1
of 49
off 1
offer 2
offered 1
on 14
one 9
only 3
opening 2
order 2
orders 1
other 2
others 2
out 4
over 2
own 1
pair 1
part 1
partition 1
passageways 2
payment 2
pays 2
peace 1
pearls 2
people 1
perfumed 1
person 1
personnel 1
pilots 1
place 2
places 1
planet 3
point 11
police 1
politics 1
power 1
present 1
presented 1
preside 1
primitive 1
profiteers 1
project 1
proposed 1
proposes 1
proposing 1
protected 1
protocol 1
provided 1
pulls 1
pursue 1
put 1
putting 1
quarters 1
race 2
reached 1
reaching 2
react 1
regenerating 1
reminds 1
rendering 1
reported 1
restore 1
resurface 1
return 1
reveal 1
right 1
ring 1
rises 1
room 1
screens 3
sealed 1
search 1
section 2
see 1
segment 12
segments 2
series 1
services 1
shadows 4
shaman 1
shape 1
shapeshifters 1
she 8
shellfish 1
shingouz 7
ship 4
shortly 1
shows 2
simulation 1
since 1
small 2
so 2
some 2
soon 1
sort 1
source 1
space 1
spacecraft 6
spacesuit 1
spacewalk 1
speech 4
sphere 1
spheres 1
spying 1
stays 1
still 1
such 1
suddenly 3
suffuss 4
suggest 1
suggests 1
surprised 1
surround 1
surrounds 1
survive 1
survivor 1
suspended 1
tablets 1
take 2
taken 2
takes 2
taking 4
tell 3
tells 1
ten 1
terrans 1
that 13
the 128
their 11
them 13
themselves 2
then 1
there 5
they 22
things 1
thousand 1
thousands 1
three 2
time 2
to 42
transferred 1
translucent 1
transmute 1
trapped 1
travelling 1
tries 1
true 1
try 1
turn 1
two 2
txil 1
unconscious 1
unmarked 1
unusual 1
up 6
upset 1
use 2
using 1
usually 1
valerian 1
valrian 11
vendors 1
via 1
video 1
visit 2
waiting 1
wall 1
wants 1
warfleet 1
warships 1
was 1
water 1
waters 1
way 2
what 3
when 2
where 1
which 2
while 1
white 1
who 6
whose 1
will 2
wisdom 2
with 13
withdrawal 1
worry 1
would 2
wrought 1
xoxos 1
years 2
young 1
zools 5
zuur 3
zuurs 1
