15287149
/m/03hp3lb
/m/03hp3lb
Tony Parsons
1999
{"/m/02xlf": "Fiction", "/m/01qxvh": "Romance novel"}
30 1
a 9
about 1
already 1
and 5
another 1
apart 2
at 1
being 2
car 1
child 1
coffee 1
colleague 1
convertible 1
cope 1
coping 1
drives 1
emigrates 1
eventually 1
falls 1
finds 1
fouryearold 1
from 1
happily 1
harry 2
has 3
he 6
her 1
him 1
his 4
is 2
japan 1
job 2
leaves 1
life 2
loses 1
married 1
meets 1
met 1
moves 1
new 1
night 1
of 1
on 1
parent 2
producer 1
shop 1
silver 1
single 2
son 1
spends 1
sports 1
stress 1
successful 1
television 1
the 2
then 2
they 1
to 3
turn 1
while 1
whom 1
wife 1
with 5
woman 2
work 1
