19064121
/m/04jjrs0
/m/04jjrs0
André Franquin
1970

album 1
also 1
an 1
and 4
appear 3
as 1
at 1
be 1
before 1
but 1
causing 1
chair 2
chewing 1
collapse 1
contracts 1
de 1
do 1
electric 1
end 1
fantasio 1
feature 1
finally 1
first 1
fixed 1
foods 1
for 1
from 1
gags 1
gaston 3
gastonlatex 1
hammer 1
important 1
in 1
it 2
latex 1
lebrac 1
mastigaston 1
mesmeaker 1
monsieur 1
most 1
must 1
not 1
of 2
on 1
only 1
play 1
prunelle 1
replica 1
role 1
rubber 2
running 1
s 1
saves 1
sign 1
sits 1
someone 2
strips 1
swallowing 1
that 1
the 5
they 1
time 1
to 2
try 1
vain 1
wall 1
when 1
yet 1
