9015125
/m/027tgph
/m/027tgph
Ben Jonson

a 12
accept 1
accused 1
after 1
against 1
all 1
also 1
amid 1
among 1
and 4
another 1
apparently 1
aristophanes 1
as 3
attempts 1
audrey 4
because 1
before 1
between 1
borrows 1
break 1
bull 1
by 1
catullus 1
celebrated 1
chased 1
classical 1
clay 1
cock 1
colloquial 1
comparable 1
concerns 1
constable 2
daughter 1
day 1
disorder 1
elements 1
elsewhere 1
engagement 1
est 1
falsely 1
fine 1
for 1
four 1
from 2
gap 1
hand 1
has 3
he 1
here 1
hesitates 1
his 2
however 1
in 2
inept 1
inficetior 1
inficeto 1
innocent 1
is 3
it 1
john 1
jonson 1
justice 1
lady 2
man 2
marriage 1
marries 1
masque 1
me 1
middlesex 1
mother 1
motto 1
no 1
of 11
often 1
on 1
others 1
particular 1
plautus 1
play 2
plays 3
plot 1
polmarten 1
preamble 1
preference 1
published 1
pursues 1
realize 1
retells 1
rival 1
romantic 1
rure 1
ruse 1
same 1
separate 1
she 2
social 1
squire 3
st 1
story 2
suitor 1
suitors 2
tale 2
the 17
theft 1
their 1
them 2
tilemaker 1
time 1
titled 1
to 5
told 1
too 1
tub 7
turfe 2
unfolds 1
usage 1
usher 1
valentine 1
variety 1
was 1
wedding 1
which 2
win 1
with 2
yet 1
