6088829
/m/0fpljh
/m/0fpljh
Wendy Coakley-Thompson
2005
{"/m/05hgj": "Novel"}
2002 1
28 1
36 1
46 1
70 1
8a 1
a 17
after 1
again 1
agencies 1
aging 1
also 1
alzheimers 1
an 3
and 19
angeles 1
anna 1
another 2
are 1
area 2
around 1
as 3
asks 1
at 4
autodidact 2
baby 1
band 1
be 1
because 1
become 1
been 1
begins 1
belatedly 1
believes 1
black 1
blow 1
braxton 1
bright 1
brooklyn 1
business 1
but 1
can 1
care 1
chaney 11
chaneys 1
charmed 1
chauncey 1
code 1
come 2
comes 1
companionship 1
competing 1
complexities 1
computer 1
context 1
contracting 1
contracts 1
corps 1
could 1
couple 1
crossroads 1
daisy 2
daisys 1
dc 3
deadlocked 1
dealing 1
death 1
degree 1
descent 1
design 1
despite 1
deteriorate 1
developing 1
devin 9
devins 3
dies 1
discovers 1
discussed 1
disease 1
distant 1
doctoral 1
doesnt 1
each 2
early 1
employment 1
ends 1
engagement 1
eric 1
even 1
exile 1
exnavy 1
expecting 1
fabulous 1
fabulously 1
fact 1
failed 1
family 1
father 2
fathers 1
find 1
firm 1
flaky 1
for 3
from 3
future 1
gainful 1
georgetown 1
government 3
halfblack 1
halfbrothers 1
halfkorean 1
has 5
he 7
health 1
her 8
his 8
home 3
hostile 1
if 2
implodes 1
in 11
inc 1
increasingly 1
indian 1
instructional 1
intact 1
into 1
is 11
issues 1
jag 1
join 1
just 2
kl 2
labrador 1
lack 1
latest 1
lays 1
lead 1
leaving 1
left 2
lieutenant 1
life 6
lifes 1
likes 1
lincoln 1
lisa 1
lives 1
living 1
los 1
lot 1
love 1
lover 2
marine 1
marriage 1
massive 1
maybe 1
meet 1
mercifully 1
middle 1
more 2
moreover 1
mother 1
moved 1
moves 1
musician 1
navigator 1
no 1
not 2
nourish 1
ny 1
of 9
off 1
older 3
on 1
one 1
onefourth 1
orbit 1
other 2
ousted 1
overtures 1
own 1
painful 1
paper 1
partner 1
partnership 1
past 1
patient 1
practice 2
raised 1
randy 1
randys 1
realizes 1
reign 1
relationship 1
relationships 1
retired 1
retriever 1
rhym 2
rock 1
run 1
same 2
seamy 1
seattle 1
see 2
seem 1
she 3
sister 2
sisters 1
sniper 1
snipers 1
sojourn 1
solutions 1
specializes 1
spot 1
spurned 1
star 1
style 1
succumbs 1
suffering 1
suitable 1
syracuse 1
tadpole 1
take 1
takes 1
taking 1
tense 1
that 7
the 11
their 2
them 2
themselves 1
there 1
though 1
three 1
through 2
ticket 1
time 2
to 11
tony 1
town 1
townhouse 1
training 1
two 1
tyree 1
university 1
unraveling 1
veterinarian 1
veterinary 1
waiting 1
war 1
washington 3
waste 1
webbased 1
west 1
when 3
where 1
with 8
woman 1
wonderful 1
work 1
world 1
yellow 1
younger 1
youngest 1
