7025224
/m/0h0ww2
/m/0h0ww2
David Brin
1995-10
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction", "/m/05hgj": "Novel"}
23rd 1
30 1
a 38
able 1
aboard 1
about 1
abusive 1
activities 1
adopts 1
adult 1
after 4
against 1
aid 1
aka 1
all 4
also 4
alvin 3
ambushed 1
an 5
ancestors 1
and 55
animals 1
annoying 1
annual 1
another 1
any 1
anything 1
are 12
arguments 1
ariana 2
around 1
arrival 2
arrives 2
artifact 1
as 8
ask 1
assault 1
assistance 4
asx 3
at 1
attack 1
attempt 1
attempts 2
back 1
badly 1
bartering 1
be 4
beast 1
become 1
been 1
beginning 1
begins 2
behalf 1
belief 1
believes 1
belonging 1
beneath 1
between 2
beyond 2
biblios 1
biologist 2
biosphere 1
bird 7
blocks 1
bodies 1
both 1
breeding 1
bring 1
brothers 1
but 6
by 8
cache 1
called 3
came 1
can 3
cannot 1
capture 2
captured 1
causes 1
ce 1
center 1
century 1
ceremony 2
chance 1
characters 1
chasing 1
chip 1
claim 1
claims 1
clan 1
climbs 1
coast 1
colonies 1
colony 1
come 1
companions 1
company 1
completing 1
concludes 1
confusion 1
continue 1
continues 2
continuing 1
convinced 1
council 7
course 1
crazy 1
cruiser 1
damage 2
damaged 1
danik 4
daniks 1
daughter 1
dead 2
decelerating 1
declared 1
denizens 1
depart 2
departs 1
deposit 1
describe 1
destroy 1
destroyed 1
destroys 1
develop 2
did 1
disables 2
discern 1
discover 2
discovered 1
discovery 1
disguised 1
dispel 1
does 1
doing 1
domain 1
down 2
drafted 1
dross 1
dwer 8
each 1
earth 1
easily 1
east 1
ecosystem 1
egg 5
eight 2
emerge 1
employed 1
encounters 1
ends 1
enemies 1
engineered 1
ensnared 1
escape 1
escapes 1
escort 1
existence 1
expedition 4
exploration 1
explore 1
explosion 1
explosives 1
extinct 2
fallow 1
family 1
fanatics 1
faster 1
fauna 1
festival 1
fighting 1
firefight 1
fires 1
first 1
fit 1
flames 1
fleck 1
following 1
follows 1
foo 1
for 4
forbidden 1
form 1
fracturing 1
free 1
friendly 1
friends 2
from 14
galactic 3
galactics 1
gathering 3
girl 1
gkek 1
gkeks 1
glade 4
glavers 2
going 1
great 2
greet 1
group 1
gun 1
has 1
hatch 1
hatred 1
have 5
he 7
help 1
her 8
heretic 3
heretics 1
hidden 1
hiding 1
highsage 1
him 1
his 6
history 1
holy 5
hoon 2
hooves 1
horror 1
horses 1
hphwayuo 1
huck 1
human 5
humanity 1
humans 5
hunter 1
hunting 1
husband 1
idea 1
ie 1
ignited 1
illegal 1
illegally 1
illicit 1
immediate 1
importance 1
impoverished 1
in 17
information 1
injured 1
injuries 1
intelligences 1
intended 1
investigation 1
is 18
it 7
its 1
jijo 12
jijoan 2
jijoian 1
join 2
jophur 2
keen 1
keep 1
keeping 1
knowledge 1
known 1
kuhn 1
kunn 2
landed 1
lands 1
larger 1
lark 4
lead 1
leader 1
learn 1
learns 1
leave 1
leaves 1
left 1
library 1
ling 1
loathing 1
local 1
locate 1
made 1
main 1
make 1
male 1
manage 1
many 1
master 1
may 2
member 1
members 4
men 2
metal 1
midden 2
militias 1
mission 1
mountain 1
mudfoot 2
mulc 1
music 1
must 1
mute 1
mysterious 1
name 1
native 2
near 1
negotiate 1
nelo 1
no 1
nondecomposable 1
noor 3
not 2
nothing 1
novel 2
nursed 1
of 47
on 14
one 1
only 1
opens 1
or 1
orbit 1
origin 1
origins 2
other 4
over 1
oversees 1
pacifying 1
pack 1
papermaker 1
part 1
participants 1
participate 1
partly 1
party 1
patronclass 1
patrons 1
peoples 1
piled 1
pills 1
pilot 1
pincertip 1
placed 1
plan 1
planet 2
plant 1
planted 1
pod 1
points 1
power 1
preaches 1
preparing 1
presentient 1
proclaim 1
project 1
proper 1
protect 2
provides 1
purpose 1
qheuen 2
quick 1
race 1
races 11
rage 1
raised 1
range 1
realization 1
recall 1
receive 1
recently 1
recognizes 1
recover 1
recovered 1
recovers 1
recovery 1
redeemed 1
regressed 1
religious 2
remain 1
remaining 3
remains 1
representatives 1
request 1
requests 1
rescued 1
research 1
researcher 1
reside 1
retired 1
retreat 1
retribution 2
return 2
returning 1
rety 11
reveal 1
revealed 1
reveals 1
riding 1
rimmers 2
rings 1
robot 12
robotic 2
robots 1
rocklike 1
rokenn 4
ropol 1
rothen 16
sage 2
sages 2
sara 5
saw 1
says 2
second 4
secret 2
secretive 1
see 1
seem 1
sent 3
seriously 1
servants 3
serves 1
settlers 1
settling 1
several 4
she 5
shifts 1
ship 3
shoots 1
shortly 1
should 1
shuttle 2
signals 1
similar 1
sin 1
six 4
sky 1
sleep 1
slope 5
small 1
smith 1
so 1
soon 1
sooner 2
sooners 2
sought 1
sound 1
source 1
southern 1
speak 1
spider 2
spiritual 1
spying 1
stacks 1
starship 2
starships 1
start 1
starting 1
station 1
steal 1
still 2
stop 1
stories 1
story 2
stranger 9
studying 1
subduction 1
subjecting 1
submarine 1
successfully 1
summer 1
sunk 1
surveys 1
technology 1
teenage 1
term 1
than 1
that 10
the 143
their 9
themselves 3
then 1
there 1
thereafter 1
these 1
they 9
this 3
thought 1
thoughts 1
to 44
together 1
tow 1
tracked 1
tracking 1
traeki 3
transmit 1
trash 1
travel 2
tribe 4
tribesmen 1
trying 1
turn 1
two 4
tytlal 2
uncolonized 1
undersea 1
unexpected 1
until 3
uplift 1
uriel 2
urrish 1
urronn 1
urs 10
us 1
use 1
used 1
using 3
very 1
was 1
watches 1
way 1
weapons 1
were 1
what 1
when 6
where 4
which 1
while 1
who 4
widely 1
wild 2
wildlife 1
will 2
with 3
without 2
witnesses 1
women 1
wont 1
worlds 1
worry 1
writer 1
year 1
yee 1
young 1
zone 1
