240384
/m/01jw9r
/m/01jw9r
John Fowles
1969
1thcentury 1
a 16
abandoned 1
about 3
affair 1
after 2
aftermath 1
again 1
alfred 1
alone 1
also 1
alternative 1
america 1
an 7
analyses 1
and 19
ankle 1
another 1
apparent 1
appears 1
are 3
arnold 1
artistic 1
artists 1
as 6
asks 1
at 5
author 1
back 1
be 1
bear 1
become 2
been 1
before 4
begin 1
believe 1
but 2
by 4
cannot 1
carriage 2
character 2
characters 2
charles 13
charless 1
child 2
childless 1
clandestinely 1
class 1
coastal 1
cobb 1
coin 1
compartment 1
consequences 1
continuing 1
contrary 1
controlling 1
creative 1
curiosity 1
customs 1
darwin 1
daughter 1
day 1
daydream 1
deciding 1
described 1
despite 1
detail 1
details 1
determine 1
develops 1
differences 1
different 1
difficulties 1
discourses 1
discrete 1
disgraced 2
dismissed 1
disobeys 1
does 1
during 3
elder 1
elides 1
emotional 1
emphasising 1
en 1
enamoured 1
encounter 1
end 1
ended 1
ending 5
endings 4
ends 1
engaged 1
engagement 1
enjoying 1
enough 1
equal 1
equally 1
ernestina 6
events 2
eventually 2
exeter 1
existentialism 1
exploiting 1
expresses 1
family 1
fate 1
fathered 1
few 1
fiance 1
fifteen 1
finding 1
finds 1
first 1
flees 1
for 4
fowles 2
france 1
freeman 1
french 4
from 2
future 1
gentleman 1
get 1
gone 1
had 4
hardy 1
has 3
have 2
he 16
heir 2
her 9
him 1
himself 1
his 8
history 1
house 2
how 1
however 1
implied 1
implies 1
in 12
inheritance 1
injury 1
interest 1
intimate 1
is 14
it 1
itself 1
jeopardy 1
john 1
journey 1
jutting 1
known 1
learns 2
leaves 1
leaving 1
lieutenants 3
life 1
limited 1
literature 1
lives 2
living 1
london 2
lord 1
love 2
lying 1
lyme 1
made 1
manipulating 1
marriage 1
married 1
marries 2
matter 1
matthew 1
meet 1
meeting 1
mentioned 1
might 1
minor 1
minutes 1
morals 1
mostly 1
named 1
narrator 3
naval 1
nickname 1
no 1
not 1
novel 2
novelist 3
objective 1
obvious 1
occurred 1
of 15
off 1
offers 2
officer 1
one 1
open 1
order 1
orders 1
origins 1
other 1
out 1
outside 1
own 1
particular 1
philosophically 1
pier 1
plausibility 1
pocket 1
poetry 1
portray 1
portrayals 1
possible 4
produces 1
prospective 1
protagonist 1
question 1
questions 1
railway 1
raising 1
reader 1
realises 1
reappears 1
regis 1
relationship 1
remain 1
resist 1
return 1
returned 1
reunion 2
role 1
rossettis 1
route 1
rumours 1
same 1
sarah 8
sarahs 2
scottish 1
sea 2
searches 1
second 3
secondending 1
see 1
seemingly 1
seen 1
sees 1
sends 1
several 2
shallowminded 1
sharing 1
she 8
simultaneously 1
smithson 1
something 1
sordid 1
sour 1
speaking 1
spends 1
standing 1
staring 1
stopping 1
story 2
strong 1
subsequent 1
suffered 1
support 1
supposedly 2
tell 1
telling 1
tells 3
tennyson 1
that 3
the 54
their 6
then 2
theories 1
there 2
they 1
third 2
this 1
thomas 1
thought 1
three 1
time 2
times 2
title 1
to 18
tosses 1
town 1
tradesman 1
tragedy 1
trying 1
turns 1
two 2
uncle 3
unfortunate 1
unhappy 1
union 1
unkindly 1
unknown 2
unpleasant 1
upon 1
varguennes 1
version 1
virgin 1
visit 1
visits 1
wants 2
was 2
watch 1
wealthy 1
what 1
when 2
where 2
which 4
who 3
whom 1
whore 2
whose 1
will 1
with 8
without 1
woman 6
woodruff 1
years 1
young 1
