20098374
/m/04y8dqm
/m/04y8dqm
Isaac Asimov
1987
{"/m/06n90": "Science Fiction"}
a 19
abandoned 1
absence 1
access 1
actives 1
adopts 1
advantage 1
again 1
against 1
air 1
alien 6
aliens 1
allowed 1
alpha 4
also 1
amazed 1
an 6
and 30
another 2
anxious 1
anything 1
apparent 1
apparently 2
appear 1
aranimas 8
aranimass 2
are 3
arm 1
arrival 1
arrived 1
as 2
asimov 1
asking 1
asteroid 3
asteroids 1
at 1
attacks 1
attempting 1
attempts 1
augment 1
augmented 1
awakens 2
aware 1
away 2
back 2
be 1
because 1
been 5
before 2
befriends 1
begins 1
behind 2
being 1
below 1
bequeaths 1
beside 1
bills 1
blasters 1
board 1
bombards 1
booby 2
both 2
bound 1
build 1
building 2
buildings 1
but 4
by 6
called 1
can 1
caninelike 1
cannot 1
captain 1
captured 1
center 1
city 5
civilization 1
climb 1
close 1
collected 1
colony 2
commander 1
committed 1
communicate 1
compilation 1
composed 1
concluded 1
construction 1
containing 1
continue 1
continues 1
cost 1
could 1
cover 1
decides 1
derec 21
descend 1
design 1
destroy 1
destroyed 2
destroying 1
dictate 1
disappear 2
discover 2
discovers 1
discovery 1
do 1
doing 1
door 2
down 1
draw 1
due 2
during 1
emergency 1
empty 1
encounters 1
ended 1
ends 1
engineering 1
entire 1
entirely 1
escape 2
escapes 2
eventually 1
expansive 1
explore 1
facility 1
fact 2
failing 1
falls 1
farce 1
female 2
find 3
finding 2
finds 2
first 3
following 1
food 1
for 7
found 1
freedom 1
from 3
function 1
furry 1
gain 1
gave 1
get 2
guard 1
guards 1
had 3
hangar 1
has 7
have 2
having 1
he 14
heavy 1
heels 1
help 1
hidden 2
hiding 2
highly 1
him 4
himself 2
his 5
holes 1
how 1
however 3
human 3
humanoid 1
humans 1
identity 1
ignorant 1
immediately 1
importance 2
in 18
incinerator 1
including 1
informs 1
installation 1
into 3
is 28
isaac 1
it 8
its 2
jeopardize 1
just 2
katherine 6
key 4
knowledge 1
knows 2
later 1
law 3
laws 2
learn 1
leaving 1
left 1
level 1
life 2
likewise 1
limited 1
little 1
looking 3
man 1
manager 1
manufacturer 1
medical 2
meet 1
meets 1
memory 1
message 1
mining 1
mission 3
modified 1
monstrosity 1
murder 2
murdered 1
must 4
mutiny 1
name 3
named 1
names 2
next 1
no 1
nor 1
not 2
nothing 1
obey 1
object 9
of 33
offstation 1
on 10
one 4
only 4
opened 1
opens 1
operated 1
operation 2
or 3
orders 1
other 3
out 2
outside 1
overnight 1
own 1
part 1
parts 1
passing 1
peculiar 1
perihelion 1
person 1
pertaining 1
pieced 1
piracy 1
pirate 1
plan 1
pod 1
population 1
prisoner 1
procure 1
pronounce 1
properties 1
protecting 1
psychologically 1
pyramid 1
random 1
real 1
realize 1
reappear 1
receives 1
recently 1
remorseful 1
remote 1
removed 1
rescued 1
return 1
robot 9
robotic 1
robotics 5
robototic 1
robots 12
rockliffe 1
room 2
ruthless 1
save 1
search 2
searching 1
secrecy 2
section 2
seized 1
send 1
series 1
servant 1
shaped 1
she 3
ship 8
ships 1
signal 1
since 2
situation 1
small 1
smaller 1
society 1
something 1
soon 1
space 2
starving 1
station 5
steals 1
story 1
subdue 1
subterranean 1
such 1
suit 2
supplied 1
supply 1
surface 5
surmising 1
surprised 1
surrounded 1
suspects 1
suspicion 1
take 1
taking 1
technically 1
tell 1
that 16
the 84
their 10
them 2
themselves 2
then 1
there 2
they 14
thin 1
this 1
though 1
three 2
through 2
thus 1
to 25
together 2
told 2
top 1
trade 1
trained 1
trap 1
trapped 1
trips 1
two 1
unconscious 1
under 1
up 1
upon 2
use 1
using 2
utmost 1
valuable 1
venture 1
wanting 1
was 1
weeks 1
well 1
were 1
what 2
where 1
which 3
while 2
who 7
whom 1
with 6
wolruf 5
work 2
worksuit 1
world 1
would 2
young 1
