398933
/m/023m32
/m/023m32
Brian Jacques

a 20
abbey 15
abbot 3
abbreviated 1
abilities 1
able 1
acquiring 1
adder 1
adventure 1
aforementioned 1
after 5
alerted 1
alf 2
all 1
allies 2
along 1
also 3
an 8
and 26
anger 1
any 1
appears 1
are 5
area 1
arrive 1
arrives 1
as 4
asmodeus 3
assembled 1
at 2
attacked 1
attempting 1
attempts 1
back 2
band 1
barb 2
basil 1
battering 1
battle 1
be 1
beasts 1
been 3
befriends 1
begin 1
beginning 1
begins 1
being 1
bell 2
birth 1
book 1
bravehearted 1
brother 2
built 1
but 3
by 9
cad 1
captain 1
captors 1
captures 1
casualties 1
cat 1
cave 1
chickenhound 1
church 1
churchmouse 1
closes 1
clues 1
cluny 7
commander 1
community 1
complies 1
continues 2
cornflower 1
counseled 1
cracking 1
creatures 1
crushing 1
damage 1
deal 1
deals 1
death 1
defeats 1
defend 1
defense 1
designed 1
dies 1
divines 1
dogooder 1
done 1
dormice 1
down 1
dreams 1
dropping 1
dwells 1
effective 1
elders 1
emerge 1
end 2
entrance 1
epilogue 1
escape 1
eventually 1
evil 1
extralong 1
eye 1
failed 1
fall 2
falling 1
family 2
fearing 1
fieldmouse 1
fierce 1
fighters 1
finally 1
find 1
fixture 1
foebeasts 1
folk 1
for 2
forces 1
forest 1
form 1
friends 1
from 3
full 1
gain 1
gates 1
general 1
generally 1
gigantic 1
gingivere 1
given 1
great 1
grizzled 1
hare 1
has 4
have 1
having 2
he 8
head 1
headquarters 1
heart 1
help 2
helped 1
her 1
hidden 2
him 2
himself 1
his 7
horde 1
however 2
if 2
in 12
include 1
indeed 1
infamous 1
inflicted 1
inhabitants 2
injured 1
intention 1
into 1
invades 1
is 14
isnt 1
it 1
jess 1
john 1
julian 1
killed 1
killing 1
kills 1
king 1
known 1
lair 2
late 1
leader 1
leadership 1
legendary 1
life 1
local 2
location 1
logalog 2
longer 1
lost 1
make 3
many 1
married 1
martial 1
martin 2
matthias 14
mattimeo 1
meanwhile 1
methuselah 4
mordalfus 1
mortimer 2
mossflower 2
most 1
mouse 3
much 1
name 1
named 3
natural 1
necessary 1
new 2
ninian 1
none 1
novel 2
now 3
numerous 1
of 37
off 1
old 1
on 5
one 2
only 1
open 1
other 1
over 1
overrun 1
owl 1
owning 1
particularly 2
patience 1
pick 1
pike 1
place 1
plumpen 2
poisoned 2
population 2
princess 1
prisoner 1
process 2
proclaiming 1
quest 1
quiet 1
ram 1
rat 1
rather 1
ready 1
recorder 2
recovering 1
recovers 1
redwall 8
redwallers 1
refuge 1
refuse 1
resident 1
resulting 1
retrieving 1
returns 1
roof 2
rose 1
roused 1
rushes 1
save 1
scabbard 2
scourge 1
sela 1
seriously 1
servitude 1
set 1
several 1
she 1
shield 2
shortlived 1
shrews 1
siege 1
slow 1
small 1
snake 2
snow 1
somewhere 1
son 2
soon 1
south 1
sparra 2
sparrow 3
sparrows 2
squire 1
squirrel 1
st 1
stag 1
stature 1
still 1
stolen 1
story 1
succeed 1
summer 1
supposedly 1
surrounding 1
sword 6
tail 1
takes 1
taking 2
than 1
that 3
the 71
their 3
them 3
themselves 2
then 1
there 2
they 1
throughout 1
times 2
to 20
tower 1
traitors 1
tribe 3
trouble 2
trying 1
tunnel 1
turn 1
two 1
unfortunately 1
up 1
vermin 1
version 1
victory 1
vixen 1
wandering 2
warbeak 1
warrior 2
was 2
way 1
well 1
when 2
where 1
which 2
who 5
wild 1
will 1
with 7
within 2
woods 1
young 2
