1903199
/m/064_nx
/m/064_nx
Ward Moore
1953
121 1
152 1
153 1
17 1
1863 1
1877 1
20th 1
a 15
accepts 1
actions 1
activities 1
acts 1
admittance 1
advances 1
after 1
age 1
alternate 2
an 3
and 16
army 3
as 3
aspirations 1
asserts 1
at 2
attempt 1
back 1
backmaker 1
backwater 1
battle 5
battlefield 1
be 1
become 1
becoming 2
before 1
being 1
between 2
book 1
bookshop 2
born 2
brigade 1
but 1
by 2
called 1
causes 1
chamberlain 1
changed 1
child 1
cities 1
city 2
collective 1
college 1
colonel 1
comes 1
commanded 1
compared 1
concludes 1
confederacy 1
confederate 3
confederates 2
consequences 1
contact 1
contemporary 1
content 1
counterfeiting 1
critical 1
currency 1
death 1
design 1
desperate 1
despite 1
destroyed 1
destroying 1
developing 1
diary 2
did 1
differences 1
dimension 1
discovers 1
down 1
during 1
early 1
editorial 1
effectively 1
error 1
events 1
every 1
explains 1
failure 1
falls 1
father 1
felt 1
few 1
finally 1
following 1
food 1
for 4
former 1
found 2
frederick 1
from 2
fully 1
future 2
gain 1
german 1
gettysburg 2
give 1
glory 1
goal 1
grand 3
grown 1
had 6
haggershaven 1
he 11
here 1
hill 3
him 1
his 6
historian 1
history 2
hodge 13
hodgins 1
hold 1
hour 1
house 1
how 1
however 1
if 1
in 20
inadvertently 1
infantry 1
intellectuals 1
into 1
involves 1
is 4
its 1
joins 1
joshua 1
keep 1
key 1
known 1
largest 1
later 1
leaving 1
life 1
little 3
lodging 1
loses 1
maine 1
manuscript 1
mccormick 1
meets 1
member 1
momentous 1
narrator 1
nationalistic 1
new 2
north 1
not 1
note 1
notes 1
novel 2
occupied 1
occupy 2
of 19
officer 1
on 3
one 2
only 1
operations 1
opportunity 2
or 1
organization 2
our 1
out 1
over 1
paving 1
pennsylvania 1
person 1
philadelphia 1
play 1
possessions 1
possible 1
provoking 1
quotes 1
read 1
reality 1
regiment 1
relates 1
remaining 1
remodeling 1
repel 1
research 1
researching 1
restore 1
return 1
robbed 1
round 3
sabotage 1
sane 1
scholars 1
scientist 1
see 1
selfsufficient 1
six 1
some 1
south 2
spanish 2
sparing 1
special 1
states 3
stays 1
stories 1
story 4
stranded 1
strong 1
successfully 1
superpowers 1
takes 1
territories 1
terrorism 1
thammis 3
that 3
the 48
their 1
then 1
they 1
this 3
thought 1
through 1
thus 1
time 4
timeline 6
to 17
top 3
town 1
track 1
travel 2
travels 2
two 1
unable 1
union 3
unique 1
united 2
university 1
up 1
us 1
verge 1
victory 1
vincent 1
volunteer 1
waking 1
wappinger 1
war 3
was 4
watch 2
way 1
wearing 1
when 1
where 3
which 1
while 1
who 2
why 1
win 1
winter 1
with 6
wonders 1
work 2
working 2
world 1
writes 1
written 1
year 2
years 1
yet 1
york 2
