8925780
/m/027pywz
/m/027pywz
Margaret Weis
1994-02
a 27
about 1
abyss 1
accepted 1
actually 1
adoptive 1
adoring 1
adventure 1
afflicted 2
after 3
afterward 1
afterwards 1
against 2
agrees 1
aided 1
air 1
alhana 6
all 2
alliance 1
allow 1
allowed 1
allows 1
already 1
also 1
ambushed 1
an 6
and 55
apparent 1
appeared 1
appears 2
are 3
ariakan 2
arrested 1
arrives 1
as 5
at 2
attacks 1
awake 1
back 4
bastion 1
be 4
beautiful 1
became 2
become 4
becomes 1
begin 2
begins 3
believe 2
believes 1
bet 5
blackrobed 1
blue 1
body 2
border 1
born 1
bound 1
brightblade 3
but 5
by 5
can 3
capital 1
caramon 7
cared 1
castle 1
cave 1
chance 1
chaotic 1
chief 1
child 5
choice 1
city 2
clerist 1
close 1
come 1
comes 2
commands 1
constantly 1
contacted 1
coronation 2
crowned 1
curse 1
cursed 1
dalamar 13
dark 1
daughter 2
day 1
debt 1
decides 2
depart 1
destroyed 1
disappears 1
discovers 2
do 1
does 1
doesnt 1
door 1
dougan 3
dragon 1
dragons 1
drunk 1
dunstan 1
during 1
dwarf 1
dying 1
elven 2
elves 3
erases 1
escape 1
escapes 1
everyone 1
exiled 1
fact 2
fall 1
fate 1
father 1
final 1
find 3
first 1
flame 1
for 7
forced 1
forger 1
fortress 1
found 1
friend 1
from 3
gaining 1
gargath 3
get 3
gilthas 16
given 1
gives 1
gnome 1
go 9
god 1
goes 8
going 2
gone 1
goodbye 1
graygem 5
greygem 1
griffin 1
group 1
had 2
halfelven 1
hammer 3
has 5
having 1
he 20
help 3
her 5
herself 1
high 3
him 12
his 13
holds 1
home 1
how 1
if 1
illusion 1
in 17
incredibly 1
inn 3
inside 1
intends 1
into 5
irda 4
is 22
island 1
isle 1
it 13
its 2
join 1
journey 2
keep 2
kept 1
kill 1
king 3
kitiara 4
knight 2
knights 3
knocked 1
laboratory 1
large 1
later 1
laurana 1
leave 1
leaves 1
left 1
legacy 1
letter 1
lifting 1
likewise 1
local 1
lord 1
loses 2
lost 1
love 2
made 2
mage 3
mages 1
magic 4
magical 1
magically 2
magius 1
majere 4
make 7
makes 2
massive 1
matar 1
medallion 1
meet 2
meeting 1
meets 1
memory 1
met 1
might 1
monologue 1
more 1
mother 1
moved 1
much 1
myth 1
named 2
nephew 1
never 1
next 1
northern 1
not 4
oath 4
of 32
off 2
old 1
on 5
open 1
out 3
outdrink 1
own 1
paid 1
pair 1
palanthas 2
palin 10
parents 1
part 1
parts 1
pass 2
passed 1
place 1
planned 1
plans 1
portal 1
possessions 1
possessor 1
power 1
powers 1
pregnancy 1
pregnant 1
preparation 1
press 1
process 1
protected 1
puppet 1
qualinesti 5
qualinost 1
queen 1
raistlin 14
rashas 7
reason 1
rebellious 1
receives 1
reclaim 1
reclaims 1
recover 1
redhammer 1
refuses 1
relates 1
relic 1
reorx 4
rescue 2
rescues 1
resides 1
return 2
returns 1
revealed 2
reveals 3
riding 1
rode 1
room 2
ruler 1
runs 1
sacrifice 1
samar 3
sara 3
say 1
says 1
scene 1
seduced 1
seen 1
senator 1
sent 1
separated 1
servant 1
shapeshifting 1
she 4
ship 1
signs 1
sleep 1
snowy 1
so 2
solamnia 1
son 3
soon 1
sorcery 2
speaker 1
spirit 1
staff 1
starbreeze 1
starjewel 1
stay 1
stays 1
steal 1
steel 9
stop 3
storm 1
story 3
strikes 1
sturm 5
summer 1
summon 1
survives 1
swear 2
swears 2
sword 1
take 2
taken 2
takes 1
takhisis 3
tale 2
tanin 1
tanis 11
tell 1
telling 1
tells 3
test 3
thanks 2
that 13
the 80
their 1
them 2
then 6
there 2
these 1
they 16
though 3
threatens 1
throw 1
time 1
to 64
told 1
tomb 1
tower 4
train 1
transpired 1
trap 1
tried 1
tries 2
true 2
try 1
two 1
uth 1
wanna 1
warrior 1
was 7
ways 1
weak 2
weather 1
well 1
what 1
when 3
where 5
which 1
while 1
who 6
will 6
with 13
woman 2
women 1
worked 1
world 3
youth 1
