714218
/m/03538v
/m/03538v
Nicholas Sparks
1996-10-01
{"/m/01qxvh": "Romance novel"}
14year 1
2 1
31 1
365 1
80yearold 1
a 16
about 3
after 4
again 4
all 1
allie 13
almost 1
also 1
although 1
alzheimer 2
an 2
and 25
antebellumstyle 1
are 2
arthritis 1
as 3
at 4
back 3
battling 1
begins 3
begs 1
bern 1
between 1
both 1
breakup 1
brief 1
brings 1
but 5
by 1
calls 1
cancer 1
canoe 1
career 1
carolina 1
caught 1
changed 2
children 1
chose 1
class 1
come 1
could 1
cries 1
daughter 1
day 3
death 1
decides 3
decision 1
describing 1
diagnosis 1
dinner 2
disease 2
does 4
during 1
each 2
embrace 1
emotions 1
enchanted 1
end 2
every 1
explains 1
fades 1
failure 1
family 2
famous 1
father 1
feel 1
feelings 1
fianc 2
finally 1
finishes 1
flood 1
followed 1
following 1
for 1
forgets 1
four 1
from 3
geese 1
gives 1
growing 1
had 2
hallucinate 1
hands 1
happened 1
has 1
have 5
he 11
heart 1
her 16
him 8
his 7
home 1
hotel 3
hours 1
house 3
how 2
hurt 1
husband 1
ii 1
ill 1
important 1
in 9
intercepted 1
interference 1
invites 1
is 8
kidney 1
kiss 1
knows 1
laborer 1
lake 1
learns 1
leave 1
leaves 1
letters 5
life 1
lives 1
lobby 1
lon 3
love 1
loves 2
lumberyard 1
make 2
man 2
meanwhile 1
meeting 1
memories 1
might 1
morning 1
mother 5
must 1
names 1
new 1
newspaper 1
next 3
night 2
noah 11
north 1
not 5
nursing 1
of 7
old 1
on 3
one 1
other 2
painter 1
panic 1
passionate 1
past 1
pay 1
point 1
promises 1
protect 1
reach 1
reader 1
reading 5
realizes 1
recognize 2
recognizing 1
referring 1
respond 1
restoring 1
resumes 1
return 1
returned 1
returns 1
ride 1
romance 1
says 2
see 1
seeing 1
sees 1
separated 1
separation 1
severe 1
share 1
she 17
shows 1
small 1
soaked 1
something 1
starts 1
stay 1
stops 1
storm 1
story 6
strong 1
suffering 1
suffers 1
summer 1
surprise 1
swans 1
swim 1
takes 1
talk 4
tells 3
that 7
the 27
their 7
them 2
then 1
they 11
thinks 1
third 1
this 2
time 1
to 21
together 5
torn 1
town 2
tries 1
up 2
visit 1
visiting 1
waiting 1
walk 1
want 1
war 1
was 2
way 2
wealthy 1
were 2
what 1
when 4
where 1
which 1
who 2
wife 1
with 2
without 1
woman 1
worked 1
world 1
worry 1
written 1
year 1
