1774042
/m/05vvn4
/m/05vvn4
Jeffrey Archer

{"/m/02xlf": "Fiction"}
185 1
a 17
abel 10
abortion 1
accept 1
accepts 1
actions 1
affected 1
affection 1
after 3
agents 1
all 1
an 2
and 21
announce 1
announcing 1
anonymous 1
anonymously 1
another 1
anything 1
are 4
arrive 1
as 6
at 1
attack 1
attempts 1
averts 1
away 1
back 2
bank 1
baron 1
become 1
becomes 2
becoming 1
begins 1
benefactor 1
between 1
both 1
brooks 1
busy 1
but 3
by 3
candidate 1
car 1
career 3
central 1
chain 1
chairwoman 1
chance 1
charge 1
childhood 2
children 1
city 1
come 1
comes 1
considers 1
crash 1
create 1
credit 1
crisis 1
custody 2
daring 1
daughter 4
day 1
deal 2
death 2
dies 1
discussing 1
disgusted 1
divorce 1
do 1
dream 1
due 1
during 1
edward 3
empire 1
end 1
entire 1
even 1
eventually 1
ever 2
example 1
examplesecret 1
explosively 1
faces 1
fact 1
fall 1
far 1
fathers 1
feat 1
female 1
feud 1
first 1
florentyna 14
for 6
friend 2
from 3
full 1
gets 1
goal 1
goes 1
golf 1
good 1
grandchildren 1
grandson 1
great 1
had 1
happily 1
harder 1
has 2
he 5
heart 1
helped 1
helps 1
her 9
him 2
his 9
homeless 1
honor 1
hotel 1
hotels 1
house 1
however 3
huge 1
if 2
illinois 1
impels 1
in 10
incidents 1
including 1
inconsistencies 1
introducing 1
is 3
it 3
kane 9
later 1
launch 1
learns 1
leaves 1
lester 2
lifeher 1
live 1
lives 1
loses 1
love 1
lovers 1
makes 1
manner 1
many 1
marijuana 1
marries 1
mate 1
meet 1
mid170s 1
mother 1
named 3
naturally 1
near 1
never 1
not 2
now 1
of 11
on 1
only 1
opponent 1
other 1
over 1
parents 1
parkin 3
party 1
past 1
people 1
perspective 1
persuasion 1
pete 1
playing 1
plot 1
politics 1
portrayed 1
president 5
presidential 1
problems 1
prodigal 1
promises 2
pursue 1
raised 1
ralph 1
react 1
reality 1
refuses 1
reneges 1
retail 1
richard 5
rosnovski 1
run 3
running 1
seat 1
second 1
seeing 1
seems 1
senator 1
senior 1
service 1
sets 1
she 6
sheer 1
similar 1
situation 1
slap 1
smokes 1
so 1
some 2
son 1
soninlaw 1
soon 1
stores 1
story 2
strikes 1
success 1
successful 1
sudden 1
suddenly 1
support 2
take 2
takes 4
tale 1
tells 1
term 3
than 1
that 4
the 27
their 4
them 2
then 3
there 1
they 1
though 1
thus 2
time 1
to 13
told 2
twist 1
two 2
undermines 1
up 1
us 1
vengeance 1
very 2
vet 1
vice 1
vietnam 1
wants 1
was 1
washington 1
were 1
what 1
when 3
which 2
while 1
who 2
will 2
william 2
winchester 1
with 9
working 1
zaphia 2
