158943
/m/02y_3bn
/m/02y_3bn
Jeff Noon
1993
{"/m/06n90": "Science Fiction", "/m/014dfn": "Speculative fiction", "/m/01hmnh": "Fantasy", "/m/02xlf": "Fiction"}
a 5
accessed 1
achieved 1
alternate 2
amorphous 1
an 2
and 5
another 1
as 1
awakening 1
become 1
been 2
before 1
begins 1
blob 1
but 1
by 3
called 1
can 1
colourcoded 1
contraband 1
copy 1
curious 1
desdemona 2
dreams 1
drugshared 1
england 1
english 2
exchange 1
explained 1
feather 1
feathers 1
fellow 1
find 1
finds 1
for 2
found 1
from 2
gang 1
hallucinogenic 1
has 2
have 1
he 1
his 4
humanity 1
imaginings 1
in 3
into 1
is 2
manchester 1
mandy 1
mechanism 1
missing 1
mission 1
mythology 1
never 1
nicknames 1
novel 2
objective 1
of 4
on 3
outer 1
point 1
rare 1
real 1
reality 2
replaced 1
rider 1
riders 1
scribble 4
search 1
set 1
shaped 1
shared 1
sister 1
sisterlover 2
so 1
society 1
some 1
space 1
stash 2
story 1
sucking 1
take 1
tells 1
that 3
the 9
they 1
thing 2
through 1
to 1
trip 1
upon 1
version 1
voodoo 2
vurt 4
which 1
within 1
yellow 1
