30209152
/m/0g54ncb
/m/0g54ncb
Eugenio Fuentes
2009
a 8
abolished 1
about 1
always 1
an 3
and 11
appeared 1
army 2
as 2
because 1
believed 1
between 1
bottom 1
broke 1
business 1
by 1
camp 2
cards 1
carry 1
cleavage 1
closure 1
commissioned 1
completed 1
compulsory 1
crime 1
cupido 4
daughter 1
death 1
dedicated 1
defence 1
detective 1
disciplined 1
dismisses 1
does 1
each 1
efficiency 1
even 1
explained 1
followed 1
for 1
forgive 1
francoists 1
generation 1
get 1
gets 1
gives 1
growing 1
had 3
handwriting 1
he 3
her 1
hierarchy 1
highlighted 1
highly 1
him 1
hires 1
his 2
hitlist 1
hurried 1
in 6
inquiry 1
internal 1
investigating 1
is 5
it 2
itself 1
law 2
learning 1
letter 1
madrid 1
major 4
manner 1
marcial 2
marina 2
me 1
measure 1
member 1
military 1
ministry 1
mulls 1
mystery 1
name 1
never 1
not 1
note 1
numbers 1
of 12
officially 1
older 1
olmedo 2
on 4
one 2
only 1
orders 1
organization 1
outcome 1
over 1
own 1
peacekeeping 1
pistol 2
private 1
problem 1
professional 1
putting 1
questioned 1
questions 1
recently 2
recommended 1
reinstatement 1
report 1
respect 1
results 1
ricardo 1
rigour 1
san 2
satisfied 1
saying 1
scene 2
scrawled 1
service 1
sets 1
shot 1
simply 1
since 1
still 1
strain 1
style 1
successful 1
suicide 2
suspects 1
technology 1
terrorist 1
that 1
the 20
there 1
this 3
through 1
to 3
troop 1
truth 1
two 1
unauthorized 1
unexpected 1
up 1
verdict 1
visavis 1
wars 1
was 2
were 1
when 1
where 1
which 3
who 1
winning 1
with 3
words 1
yearned 1
