9524894
/m/02phv08
/m/02phv08
Harold Pinter


1 1
127 1
2 1
21 1
230 1
2325 1
27 2
31 2
333 1
343ashes 1
34a 1
34any 1
34arms34 1
34ask 1
34baby34 1
34because 1
34but 1
34did 1
34do 1
34echo 2
34echo34 1
34factory34 1
34fuckpig34 1
34guides34 1
34heart 1
34held34 1
34i 4
34i34 3
34in 1
34kim 1
34lover34 1
34mental 1
34now 1
34oh 1
34pause34 1
34pen34 1
34place34 1
34she 1
34she34 3
34silence34 4
34the 3
34they 2
34this 1
34we 1
34when 1
34you 1
3an 1
3and 1
3if 1
3the 1
4 1
474 1
51 2
5563 1
6 2
61there 1
65 2
67 3
670 1
7 1
71 1
7173 1
727 1
73 3
7375 2
7385 1
75 1
77 2
8384 1
a 37
about 8
abruptly 1
abusing 1
act 1
acts 1
adding 1
after 6
again 11
again34 3
agency 1
ago 1
all 1
alluded 1
although 1
always 2
an 6
and 40
angry 1
another 7
answers 1
anticipating 1
any 4
appears 2
approaches 1
are 4
arms 2
arrived 1
as 11
ashes3 1
ask 1
asking 2
asks 3
at 8
attitude 2
away 3
away34 2
babies 3
baby 12
baby34 1
back 1
be 8
beating34 1
because 2
becomes 2
becoming 1
bed 1
been 3
beginning 2
begins 2
being 3
below 1
between 3
blackout 1
both 2
boy 1
building 1
bundle34 5
busy 1
but 2
by 9
calls 1
camps 1
can 4
can3t 1
cant 2
carpet 1
cause 1
changes 1
child 1
children 2
clear 1
comfort 1
commenting 1
complains 1
concentration 1
condition 1
continuing 1
conveying 1
conviction 1
critics 1
crowd 1
cultural 1
defined 1
demonstrate 1
denying 1
described 4
describes 2
describing 1
description 1
develops 2
devlin 25
devlin3s 1
did 2
directing 1
directly 1
disappear 1
disappeared 1
discussion 1
distance 1
do 2
doing 3
don3t 2
dont 5
down 2
dreamlike 2
dust 1
dust3 1
each 1
earlier 3
early 2
echo 4
echoing 1
elephantiasis34 1
else 1
en 1
enact 1
end 4
ended34 1
estranged 1
evening 1
event 1
events 2
ever 4
ever34 1
example 1
exchange 4
expands 1
experience 2
explains 1
explicitly 1
eyes 1
factory 1
fading 2
family 1
feel 2
final 1
finally 1
first 4
firstperson 3
followed 2
for 4
forced 1
forceful 1
forties 1
from 7
front 1
fuckpig 1
further 1
get 1
getting 1
girl34 1
give 1
go 1
god 1
goes 1
good 1
gravy 2
gravy34 1
guide 1
had 4
hand 3
handed 1
hands 2
has 8
hate 1
hates 1
have 7
he 4
heard 1
held 2
her 20
herself 1
him 5
his 4
historical 1
history 2
home 1
hostility 1
house 1
how 4
husband 3
husband34she3ll 1
hypnotized 1
i 9
identified 1
if 2
im 1
immediately 2
in 25
indeed34 1
inferred 1
information 1
initially 2
innocent 2
inquiries 1
insecure 2
instead 1
into 2
involving 1
is 7
it 17
it34 1
its 4
just 1
kids34rebecca3s 1
killer 1
kim 1
kim3s 3
kind 1
kissed 1
knew 3
know 7
last 1
later 1
leads 1
least 1
led 1
lemmings 1
let3s 1
like 2
lines 1
liquor 1
listens 1
living 1
local 1
lonely 1
long 2
look 1
looking 1
louder 2
loved 1
lover 5
lovers 1
made 1
man 3
many 2
married 1
matters 1
may 1
me 5
me34 1
men 1
monologue 2
more 1
mothers 1
murderer 1
must 1
must334 1
my 6
narrating 1
narration 1
narrative 1
nazi 1
never 8
no 1
not 5
note 1
nothing 2
occurs 1
ocean 1
of 31
off 2
on 4
one 1
oneact 1
onto 2
opens 1
or 5
other 5
ounce 1
out 3
over 1
own 4
parents 2
past 1
patient 1
pause 1
pen 4
people 2
peopled 1
perfectly 1
person 4
personal 1
place 5
place34 1
place34thus 1
platform 2
play 9
play3s 1
point 1
police 3
potentially 1
probably 1
promise 1
protests 1
purity 1
purported 1
put 4
questions 1
quoted 1
railway 1
rebecca 35
rebecca3s 5
recalling 1
recalls 2
recounts 1
reference 1
references 1
referring 1
refrain 1
relates 1
relating 2
relationship 1
repeats 1
replies 1
representations 1
respected 1
responding 1
responds 1
response 1
retorts 1
reveals 1
right 2
rolled 2
room 1
round 3
route 1
said 1
same 1
say 2
says 6
scene 2
screaming 1
sea 1
seeing 1
seems 1
sees 1
selecting 1
sequence 1
sequences 2
several 1
sexually 1
share 1
shawl 1
shawl34 1
she 30
she3ll 1
shifts 3
significantly 1
silence 2
singing 1
siren 5
sister 1
snowy 1
so 1
soldiers 1
some 2
somebody 1
song 1
sound 1
speak 1
spill 1
spilt 1
standing 1
start 4
started 1
starteda 1
station 1
stations 1
still 1
stood 1
strangle 1
street 1
strong 1
subject 1
such 3
suddenly 1
summer 2
switches 1
synecdoche 1
table 1
take 1
taking 1
talking 1
tear 1
tell 2
tells 6
terribly 2
than 1
that 20
that34 1
the 74
their 5
then 2
therapist 2
they 1
think 3
third 3
thirdperson 2
this 6
threatening 1
throat 1
throat34 1
throatnbsp 1
thus 1
time 4
title 1
to 37
told 2
took 4
top 1
toward 4
towards 1
train 3
trains34 2
travel 1
tunes34 1
turns 1
two 1
understand 1
up 3
upset 1
us 1
used 2
using 3
vast 1
very 1
victim 1
walk 1
walked 1
was 6
way 1
ways 1
we 8
we3ve 1
were 3
what 5
when 1
where 2
which 7
while 3
who 7
whom 1
why 2
wife 1
will 1
window 1
with 9
without 1
woman 6
woman3s 1
women 3
words 2
worked 1
workpeople 1
wrapped 4
writing 1
written 1
you 18
you3 1
youll 2
your 3
youre 2
yours34 1
