31820187
/m/0gtt5xy
/m/0gtt5xy
James Gleick
2011-03-01
{"/m/01p4b_": "Popular science"}
a 3
accumulate 1
ada 1
additional 1
african 1
age 1
alan 1
also 1
an 1
and 15
answer 1
any 1
apart 1
archibald 1
arrival 1
article 1
as 4
at 1
attempted 1
author 1
babbage 1
babel 1
back 1
bandwagon 1
based 1
became 1
begins 1
being 1
between 2
bit 1
butchery 1
by 1
byron 1
cape 1
case 1
central 1
challenges 1
charles 1
circulation 1
claude 2
colonial 1
commercial 1
communication 2
complex 1
compression 1
computer 1
concepts 1
content 1
correction 1
cost 1
created 1
cybernetics 1
data 1
dawkins 1
delete 1
deletionists 1
delves 1
demon 1
detailing 1
development 1
dictionary 1
digital 2
disciplines 1
discusses 1
distance 1
distances 1
down 1
drum 1
drums 1
effort 1
electronics 1
emerging 1
entropy 1
error 1
especially 1
essentially 1
european 1
even 1
eventual 1
examines 1
expansive 1
explorers 1
exposed 1
far 1
fascination 1
figures 1
finally 1
flood 1
following 1
for 2
forth 1
from 1
generated 1
generating 1
genetics 1
gleick 6
hawking 1
history 2
how 1
human 1
humanity 1
impact 1
implications 2
important 1
improve 1
in 2
including 1
inclusionists 1
industrial 1
industries 1
information 10
insights 1
intellectual 1
internet 1
into 1
investigating 1
is 3
it 2
its 1
jimmy 1
john 1
jump 1
key 1
language 1
led 1
library 1
long 1
longer 1
many 1
mathematical 1
maxwell 1
messages 1
more 2
morse 1
much 1
mzoli 1
nature 1
need 1
new 1
norbert 1
now 3
observed 1
of 18
on 1
ongoing 1
or 2
our 2
over 1
perceived 1
physics 1
point 1
presents 1
previous 1
prospects 1
quantized 1
qubit 1
relation 1
relay 1
remove 1
research 1
responsible 1
restaurant 1
retain 1
richard 1
samuel 1
says 1
send 1
shannon 2
signaling 1
slay 1
social 1
starting 1
stephen 1
struggle 2
study 1
success 1
such 2
symbolic 1
takes 1
tale 1
talking 1
technologies 1
telegraph 1
telephone 1
than 2
the 24
their 2
then 1
theory 4
these 1
this 2
to 15
town 1
transitions 1
turing 1
ultimate 1
ultimately 1
understanding 1
understood 2
unit 1
unwanted 1
use 1
user 1
uses 1
vandals 1
varying 1
villages 1
wales 1
we 1
west 1
wheeler 1
widely 1
wiener 1
wikipedia 1
with 3
written 1
