71791
/m/0jfmw
/m/0jfmw
Siegfried Sassoon
1928
{"/m/016lj8": "Roman \u00e0 clef", "/m/05qgc": "Poetry", "/m/02xlf": "Fiction"}
a 7
account 1
an 4
and 3
annual 1
as 3
attempts 1
before 1
book 3
broke 1
by 1
characters 1
childhood 1
comes 1
comic 1
concerned 1
continued 1
cricket 1
encounters 1
ends 1
enlistment 1
episodes 1
events 1
experiences 1
faber 1
first 1
fixture 1
flowershow 1
for 1
foxhunting 1
frame 1
frequently 1
from 1
george 1
his 4
humorous 1
important 1
in 8
infantry 1
innocent 1
interests 1
involved 1
is 5
landmark 1
later 1
learn 1
local 1
mainly 1
major 1
man 1
match 2
memoirs 1
mind 1
misleading 1
of 7
officer 1
one 1
out 1
part 1
plays 1
pointtopoint 1
progress 1
published 1
races 1
ranging 1
regiment 1
represent 1
ride 1
sassoon 1
selfcontained 1
separately 1
sequels 1
series 2
shersonsassoon 1
sherston 3
significant 1
somewhat 1
story 3
the 10
those 1
title 1
to 4
two 1
various 1
village 1
war 1
was 1
which 2
whole 1
winning 1
with 3
work 1
years 1
young 2
youth 2
