1447103
/m/052922
/m/052922
Clive Barker
2004
{"/m/01hmnh": "Fantasy", "/m/014dfn": "Speculative fiction", "/m/03mfnf": "Young adult literature"}
1 1
a 7
abarat 7
abaratian 1
absolute 1
according 1
acquaintance 1
after 1
against 2
all 2
also 1
an 1
and 9
annihilate 1
are 3
armies 1
as 3
assumes 1
at 1
babilonium 1
been 2
begins 1
beings 1
belief 1
blames 1
boa 3
body 1
book 6
bounty 1
breeding 1
by 6
called 2
candy 10
captured 1
carnival 1
carrion 7
character 1
characters 3
chickens 1
christopher 6
clashes 1
climax 1
comment 1
compared 1
concealed 1
contained 1
control 1
could 1
cover 1
create 1
death 1
degradation 1
destroyers 1
develop 1
diamanda 1
died 1
dies 1
discovered 1
dragons 1
dramatic 1
dual 1
efreet 2
eight 1
emerge 1
enchantress 1
encounter 1
entire 1
evade 1
eventually 1
everything 1
executes 1
expects 1
factories 1
factory 1
fantomaya 1
farm 1
fiance 1
finds 1
finnegan 1
first 1
five 1
flood 1
for 2
force 1
form 1
frees 1
from 8
geshrat 1
ghost 1
ghostly 1
give 1
giving 1
gorgossium 1
grandmother 1
great 1
had 2
halt 1
has 1
hats 1
have 1
having 4
he 4
held 1
help 1
henry 2
her 5
hide 1
him 4
himself 1
his 5
hob 1
home 1
houlihan 1
hour 2
human 4
hunter 1
husband 2
imminent 1
imprisonment 1
in 12
including 1
industrial 1
insects 1
intends 1
introduced 1
introduces 1
is 11
island 4
it 2
its 1
izabella 1
joins 1
kaspar 2
learned 1
left 2
letheo 1
lives 1
living 1
lizardboy 1
magic 1
magician 1
major 1
malingo 2
mater 2
meet 1
meeting 2
midnight 2
monster 1
most 1
motley 2
mysterious 1
nature 1
new 1
not 1
obedience 1
occurs 1
of 21
off 1
on 3
only 2
opening 1
opportunity 1
or 3
order 1
original 1
other 1
others 1
otto 1
out 1
outlet 1
over 1
palace 1
perils 1
persuaded 1
picks 1
placed 1
plots 1
power 1
powers 1
prepare 1
princess 3
prisoner 1
process 1
produced 1
progressive 1
pyramids 1
quackenbush 1
quarter 1
raised 1
readers 1
reincarnation 1
reorganize 1
request 1
requiax 1
rescue 1
resistance 1
resulting 1
return 2
revealed 2
revitalize 1
sacbrood 3
scoriae 1
sea 1
search 1
second 1
see 1
seekers 1
separated 1
servant 1
several 1
severely 1
shapes 1
she 5
simply 1
sizes 1
soul 1
source 1
spread 1
such 1
supporters 1
surrounds 1
taken 1
terrifying 1
that 3
the 50
their 1
there 2
they 2
this 2
three 1
time 1
titled 1
to 18
totemix 1
town 2
travel 1
traveled 1
travels 1
twilight 1
two 2
unclear 1
under 2
up 2
used 1
varietydeprived 1
vendetta 1
weeks 3
when 2
where 4
whereabouts 1
wherein 3
whether 1
which 4
who 1
whole 1
whom 1
will 2
with 7
withdrawn 1
within 1
wolfswinkel 2
works 1
world 5
worlds 1
wouldbe 1
wounded 1
xuxux 1
