9394422
/m/02873mm
/m/02873mm
Scott Westerfeld
2007-10-02
{"/m/06n90": "Science Fiction", "/m/0dwly": "Children's literature", "/m/03mfnf": "Young adult literature", "/m/014dfn": "Speculative fiction", "/m/02xlf": "Fiction"}
a 5
after 1
amateur 1
an 1
and 3
as 2
aya 1
be 1
been 1
beginning 1
by 1
caused 1
chosen 1
citizens 1
city 4
creativity 1
dealing 1
each 1
economy 1
either 1
events 1
every 1
extra 1
face 2
fame 2
feed 1
filming 1
find 1
for 2
forced 2
form 1
freed 2
from 1
fuse 1
gain 1
has 3
help 1
her 1
hoping 1
hovercam 1
in 1
inhabitant 1
inhabitants 1
into 1
is 1
its 1
japan 1
journalist 1
kicker 1
lesions 1
lose 1
measure 1
merits 1
modified 1
moggle 1
new 2
obedient 1
obsessively 1
of 4
on 1
one 1
or 2
own 1
popularity 1
posting 1
pressure 1
pretty 1
productive 1
rank 2
reputation 1
resources 1
rewarding 1
see 1
settle 1
society 1
specials 1
status 1
stories 1
tasks 1
the 8
their 3
them 2
three 1
to 6
tracks 1
tries 1
way 1
which 2
win 1
with 4
world 1
years 1
