30015464
/m/0fqsbhw
/m/0fqsbhw
Scott Morse

{"/m/0dwly": "Children's literature"}
a 12
abominable 1
acting 1
after 4
afternoon 1
again 1
alaska 1
all 2
ana 3
and 19
animals 1
are 3
as 2
asleep 1
assault 1
at 3
attacks 1
back 1
be 2
bear 1
becomes 1
been 1
before 2
begin 1
bites 1
blake 1
bottom 1
break 1
broken 1
brother 1
brought 1
burn 1
but 3
california 1
can 1
capture 1
causes 1
changed 1
children 1
concludes 1
convinces 1
costume 1
covered 1
covers 1
creature 1
curtis 2
cut 1
dad 2
decide 1
decides 2
deer 1
defrost 1
defrosts 1
differently 1
does 1
dog 2
doing 1
dresses 1
encounters 1
escapes 1
eventually 1
expand 1
explains 1
explores 1
fall 1
family 1
farm 1
father 2
fever 2
finds 1
flee 1
for 2
friends 1
from 2
frozen 1
full 2
furnace 1
garcia 1
get 1
gets 1
grabs 1
grady 7
grandparents 2
ground 1
groundskeeper 1
had 2
happy 1
has 1
he 4
hears 1
heat 1
helps 1
her 4
him 2
his 5
hits 1
home 1
house 1
however 1
howling 1
hunting 1
hurt 1
ice 3
in 7
into 4
is 2
it 3
jodie 5
join 1
joins 1
keep 3
killed 1
kills 1
known 1
large 1
last 1
lauren 2
let 1
life 1
little 1
live 1
locate 1
luis 3
made 1
mark 2
miriam 2
misses 1
moon 2
move 3
movements 1
moving 1
names 1
neighbor 1
newly 1
next 3
night 3
not 1
notice 1
notices 1
of 6
on 3
one 2
out 1
oven 1
parents 1
pasadena 1
pen 1
pet 1
pound 1
revenge 1
sax 1
scarecrow 3
scarecrows 6
scaring 1
see 1
she 1
short 1
showing 1
sister 1
slowly 1
sneaks 1
snow 4
snowball 1
snowballs 1
snowman 6
so 2
some 2
something 1
son 1
stanley 4
sticks 4
strange 1
stray 2
stuffed 1
swamp 2
take 1
taken 2
that 5
the 38
their 6
them 1
there 1
they 3
things 1
this 1
throws 2
time 1
to 20
torches 1
towards 1
transforms 1
tree 1
tries 1
trip 1
trunk 2
try 1
trying 1
tucker 1
turning 1
under 1
up 1
uses 1
visited 1
visiting 1
walking 1
werewolf 3
when 2
where 1
which 2
while 1
who 1
will 3
with 1
wolf 3
wolflike 1
would 1
yard 2
youngsters 1
